,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,14680,14680,2021-22,1628476,Derrick Walton Jr.,Derrick,1610612765,DET,Detroit Pistons,22100540,2022-01-01T00:00:00,DET vs. SAS,W,40.21666666666667,3,11,0.273,1,5,0.2,4,4,1.0,2,4,6,6,4,4,0,0,1,4,11,7,35.2,0,0,32.0,1,1,1,1,577,12092,6941,19723,8144,5764,12651,2651,3790,1,3074,6842,5450,2011,833,106,8184,1,5520,2687,9927,6246,4484,2151,131,5053,1,40:13,,1610612765,DET,Detroit,1628476,Derrick Walton Jr.,Derrick,G,,40.000000:13,103.9,107.1,95.8,97.7,8.1,9.4,0.207,1.5,26.1,0.041,0.089,0.064,17.4,0.318,0.431,0.159,0.16,104.58,102.05,85.04,85,0.099,16.0
1,15008,15008,2021-22,1628476,Derrick Walton Jr.,Derrick,1610612765,DET,Detroit Pistons,22100516,2021-12-29T00:00:00,DET vs. NYK,L,36.776666666666664,3,10,0.3,2,6,0.333,0,0,0.0,0,0,0,9,5,2,2,1,4,0,8,15,28.5,0,0,27.0,1,13121,13121,13121,2141,12092,8192,18995,4334,3994,8533,13659,14456,13659,13184,22354,23308,606,380,1427,702,17438,22177,18239,13258,2414,7413,2151,131,7438,1,36:47,,1610612765,DET,Detroit,1628476,Derrick Walton Jr.,Derrick,G,,36.000000:47,95.4,98.6,74.8,76.0,20.6,22.6,0.409,1.8,37.5,0.0,0.0,0.0,20.8,0.4,0.4,0.185,0.184,99.01,96.58,80.49,73,0.04,16.0
2,15551,15551,2021-22,1628476,Derrick Walton Jr.,Derrick,1610612765,DET,Detroit Pistons,22100498,2021-12-26T00:00:00,DET @ SAS,L,31.226666666666667,0,5,0.0,0,2,0.0,0,0,0.0,0,4,4,6,2,1,2,0,3,0,0,-25,20.8,0,0,16.0,1,13121,13121,13121,6753,22477,16241,22477,14232,13609,14232,13659,14456,13659,13184,6842,9918,2011,4151,4518,702,1,17825,18239,23122,25610,12016,2151,131,14542,1,31:14,,1610612765,DET,Detroit,1628476,Derrick Walton Jr.,Derrick,G,,31.000000:14,102.4,104.1,131.3,136.5,-28.9,-32.4,0.222,3.0,46.2,0.0,0.148,0.057,15.4,0.0,0.0,0.08,0.082,116.18,112.98,94.15,73,0.012,3.0
