PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,DD2_RANK,TD3_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID.1,TEAM_CITY,PLAYER_ID.1,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,WL_Loss,WL_Win,MATCHUP_Away,MATCHUP_Home
2400,1610612764,21500761,2016-02-06,3,4,0.75,0,0,0.0,0,0,0.0,3,4,7,2,0,0,1,0,5,0,6,9,0,0,1,13074,13074,13074,21002,11544,18073,1788,11051,17277,11051,14161,15066,14161,1576,6568,3953,8082,16943,12313,2692,1,24686,18762,15190,4633,2107,76,1.0,12:58,,1610612764,Washington,2400,,,12.000000:58,123.3,118.5,81.3,82.1,41.9,36.4,0.25,0.0,33.3,0.214,0.25,0.233,0.0,0.75,0.75,0.129,0.134,100.46,101.86,84.89,27,0.239,1.0,0.0,1.0,0.0
2400,1610612764,21500753,2016-02-05,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,0,4,-4,0,0,1,1,1,1,20859,14994,16058,14037,11051,13174,11051,14161,15066,14161,13060,17769,19693,18354,16943,12313,8004,17214,11390,18762,18063,16419,2107,76,1.0,13:14,,1610612764,Washington,2400,,,13.000000:14,114.2,112.0,122.7,118.5,-8.5,-6.5,0.0,0.0,0.0,0.0,0.091,0.05,0.0,0.4,0.4,0.2,0.204,91.81,94.35,78.63,25,0.0,0.0,1.0,0.0,1.0
2400,1610612764,21500739,2016-02-03,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,1,0,0,0,0,2,0,0,1,13074,13074,13074,23978,22516,19997,22516,11051,13174,11051,14161,15066,14161,13060,17769,19693,12251,16943,4706,2692,1,1,18762,23226,10013,2107,76,1.0,5:58,,1610612764,Washington,2400,,,5.000000:58,104.2,100.0,86.5,85.7,17.7,14.3,0.167,0.0,25.0,0.0,0.143,0.077,0.0,0.0,0.0,0.214,0.223,109.89,112.63,93.85,14,0.018,1.0,0.0,0.0,1.0
2400,1610612764,21500725,2016-02-01,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,1,1,1,0,0,0,3,0,0,0,0,1,13074,13074,13074,19485,22516,19997,22516,11051,9677,11051,14161,15066,14161,13060,9493,12520,12251,9196,4706,8004,1,1,4736,23226,12042,2107,76,1.0,15:23,,1610612764,Washington,2400,,,15.000000:23,101.1,103.0,106.0,103.0,-4.9,0.0,0.077,1.0,20.0,0.0,0.2,0.107,20.0,0.0,0.0,0.118,0.119,102.53,102.97,85.81,33,0.016,1.0,0.0,1.0,0.0
2400,1610612764,21500711,2016-01-30,2,3,0.667,1,1,1.0,0,0,0.0,1,4,5,0,1,0,0,0,0,0,5,-1,0,0,1,1,1,1,21999,14994,19997,2883,5519,13174,1,14161,15066,14161,6390,6568,7203,18354,9196,12313,8004,1,1,18762,16838,13184,2107,76,1.0,11:05,,1610612764,Washington,2400,,,11.000000:05,124.0,115.4,125.8,134.8,-1.8,-19.4,0.0,0.0,0.0,0.1,0.308,0.217,25.0,0.833,0.833,0.148,0.159,105.79,106.14,88.45,26,0.127,0.0,1.0,1.0,0.0
2400,1610612764,21500693,2016-01-28,2,4,0.5,2,3,0.667,1,2,0.5,0,2,2,0,2,1,0,0,1,1,7,-1,0,0,1,13074,13074,13074,21644,14994,18073,7886,2550,6890,1955,10755,8140,10753,13060,13353,16063,18354,4412,4706,8004,1,4972,12373,14029,13184,2107,76,1.0,11:53,,1610612764,Washington,2400,,,11.000000:53,101.4,103.8,110.6,116.7,-9.2,-12.8,0.0,0.0,0.0,0.0,0.167,0.08,28.6,0.75,0.717,0.241,0.244,104.94,100.98,84.15,26,0.079,1.0,0.0,0.0,1.0
2400,1610612764,21500680,2016-01-26,0,0,0.0,0,0,0.0,1,2,0.5,1,1,2,1,0,0,0,0,1,1,1,1,0,0,1,13074,13074,13074,22154,22516,24912,22516,11051,17277,11051,10755,8140,10753,6390,17769,16063,12251,16943,12313,8004,1,4972,12373,22968,11010,2107,76,1.0,10:42,,1610612764,Washington,2400,,,10.000000:42,110.8,115.0,106.0,104.8,4.8,10.2,0.111,0.0,50.0,0.091,0.091,0.091,0.0,0.0,0.568,0.045,0.046,93.13,91.96,76.64,20,0.038,1.0,0.0,1.0,0.0
2400,1610612764,21500668,2016-01-25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,1,13074,13074,13074,24249,22516,24912,22516,11051,17277,11051,14161,15066,14161,13060,22257,23167,18354,16943,12313,8004,1,1,18762,23226,15372,2107,76,1.0,5:18,,1610612764,Washington,2400,,,5.000000:18,92.6,91.7,127.3,116.7,-34.7,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.61,108.68,90.57,12,0.0,1.0,0.0,0.0,1.0
2400,1610612764,21500593,2016-01-15,4,9,0.444,0,2,0.0,0,0,0.0,0,4,4,0,2,0,0,0,3,0,8,-1,0,0,1,1,1,1,18096,8539,8964,12281,11051,9677,11051,14161,15066,14161,13060,6568,9586,18354,4412,12313,8004,1,17641,18762,12541,13184,2107,76,1.0,17:14,,1610612764,Washington,2400,,,17.000000:14,114.3,114.3,114.8,110.8,-0.5,3.5,0.0,0.0,0.0,0.0,0.235,0.118,18.2,0.444,0.444,0.268,0.268,98.49,100.27,83.56,35,0.026,0.0,1.0,1.0,0.0
2400,1610612764,21500578,2016-01-13,2,7,0.286,0,1,0.0,1,2,0.5,2,3,5,1,2,1,0,1,4,3,5,9,0,0,1,1,1,1,10015,14994,12208,19020,11051,13174,11051,10755,8140,10753,3138,9493,7203,12251,4412,4706,8004,17214,22104,4736,16838,4633,2107,76,1.0,27:00,,1610612764,Washington,2400,,,27.000000:00,107.5,108.6,93.6,91.5,13.9,17.1,0.045,0.5,9.1,0.074,0.188,0.116,18.2,0.286,0.317,0.149,0.152,103.36,104.0,86.67,58,-0.011,0.0,1.0,0.0,1.0
2400,1610612764,21500567,2016-01-11,4,10,0.4,0,4,0.0,2,2,1.0,7,5,12,3,0,0,1,0,3,3,10,7,1,0,1,1,1,1,10199,8539,7514,14037,11051,4617,11051,6499,8140,1,75,4465,752,5322,16943,12313,2692,1,17641,4736,10151,5888,1,76,1.0,26:47,,1610612764,Washington,2400,,,26.000000:47,107.2,111.1,101.6,98.1,5.6,13.0,0.158,0.0,21.4,0.219,0.179,0.2,0.0,0.4,0.46,0.167,0.167,96.86,96.75,80.63,54,0.134,0.0,1.0,1.0,0.0
2400,1610612764,21500552,2016-01-09,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,1,1,0,1,0,1,0,5,-5,0,0,1,1,1,1,19873,14994,16058,14037,5519,6890,7128,14161,15066,14161,13060,17769,19693,12251,9196,12313,2692,1,4972,18762,16838,17477,2107,76,1.0,14:50,,1610612764,Washington,2400,,,14.000000:50,133.0,129.6,149.0,148.1,-16.1,-18.5,0.091,1.0,14.3,0.0,0.143,0.063,14.3,0.5,0.5,0.214,0.228,86.01,87.37,72.81,27,0.034,0.0,1.0,1.0,0.0
2400,1610612764,21500540,2016-01-08,1,3,0.333,1,3,0.333,0,0,0.0,1,2,3,0,0,0,0,1,1,0,3,-7,0,0,1,13074,13074,13074,22459,18695,19997,16528,5519,6890,7128,14161,15066,14161,6390,13353,12520,18354,16943,12313,8004,17214,4972,18762,19720,19310,2107,76,1.0,9:58,,1610612764,Washington,2400,,,9.000000:58,67.6,65.2,97.7,100.0,-30.1,-34.8,0.0,0.0,0.0,0.077,0.286,0.15,0.0,0.5,0.5,0.12,0.124,107.69,108.36,90.3,23,0.114,1.0,0.0,0.0,1.0
2400,1610612764,21500490,2016-01-01,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,4,0,0,-5,0,0,1,1,1,1,24634,22516,23432,22516,11051,17277,11051,14161,15066,14161,13060,17769,19693,18354,16943,12313,2692,1,22104,18762,23226,17477,2107,76,1.0,4:13,,1610612764,Washington,2400,,,4.000000:13,45.0,44.4,87.2,90.0,-42.2,-45.6,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.111,0.113,109.19,108.06,90.05,9,-0.778,0.0,1.0,0.0,1.0
2400,1610612764,21500158,2015-11-17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,24519,22516,24912,22516,11051,17277,11051,14161,15066,14161,13060,22257,23167,18354,9196,12313,8004,1,1,18762,23226,12042,2107,76,1.0,4:34,,1610612764,Washington,2400,,,4.000000:34,114.1,100.0,112.7,110.0,1.4,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.091,0.104,101.96,110.36,91.97,11,-0.056,0.0,1.0,0.0,1.0
2400,1610612764,21500107,2015-11-10,0,5,0.0,0,1,0.0,0,0,0.0,2,3,5,0,0,0,1,0,1,0,0,-14,0,0,1,13074,13074,13074,21490,22516,16058,22516,11051,13174,11051,14161,15066,14161,3138,9493,7203,18354,16943,12313,2692,1,4972,18762,23226,23559,2107,76,1.0,12:04,,1610612764,Washington,2400,,,12.000000:04,79.5,77.8,133.6,140.0,-54.0,-62.2,0.0,0.0,0.0,0.118,0.25,0.172,0.0,0.0,0.0,0.172,0.176,104.62,103.43,86.19,27,-0.034,1.0,0.0,0.0,1.0
2400,1610612764,21500061,2015-11-04,0,4,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,1,0,1,1,1,0,-17,0,0,1,1,1,1,23137,22516,18073,22516,11051,9677,11051,14161,15066,14161,6390,13353,12520,18354,16943,4706,8004,17214,4972,12373,23226,24571,2107,76,1.0,8:08,,1610612764,Washington,2400,,,8.000000:08,29.4,27.8,130.3,129.4,-100.9,-101.6,0.0,0.0,0.0,0.091,0.333,0.176,0.0,0.0,0.0,0.211,0.222,99.97,103.28,86.07,18,-0.075,0.0,1.0,0.0,1.0
2400,1610612764,21500034,2015-10-31,5,10,0.5,1,3,0.333,0,0,0.0,4,7,11,2,2,1,1,0,2,1,11,3,1,0,1,13074,13074,13074,12508,6175,7514,7886,5519,6890,7128,14161,15066,14161,779,1973,1106,8082,4412,4706,2692,1,11390,12373,9124,9063,1,76,1.0,24:03,,1610612764,Washington,2400,,,24.000000:03,107.0,111.3,98.2,98.2,8.8,13.1,0.125,1.0,14.3,0.148,0.292,0.216,14.3,0.55,0.55,0.188,0.187,111.97,109.77,91.48,53,0.213,1.0,0.0,0.0,1.0
2400,1610612764,21500027,2015-10-30,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,1,1,0,0,1,2,5,0,0,1,1,1,1,23037,22516,24912,22516,11051,17277,11051,6499,8140,1,13060,17769,19693,18354,16943,4706,2692,1,1,12373,20822,7354,2107,76,1.0,8:27,,1610612764,Washington,2400,,,8.000000:27,156.6,144.4,113.9,123.5,42.7,20.9,0.0,0.0,0.0,0.0,0.125,0.071,0.0,0.0,1.136,0.053,0.057,99.52,99.41,82.84,18,0.115,0.0,1.0,1.0,0.0
2400,1610612764,21500004,2015-10-28,1,6,0.167,1,4,0.25,0,0,0.0,4,3,7,1,0,0,1,1,2,1,3,-14,0,0,1,1,1,1,16041,18695,14041,21747,5519,4617,9116,14161,15066,14161,779,9493,3953,12251,16943,12313,2692,17214,11390,12373,19720,23559,2107,76,1.0,19:50,,1610612764,Washington,2400,,,19.000000:50,80.1,78.0,110.2,115.0,-30.1,-37.0,0.091,0.0,14.3,0.154,0.13,0.143,0.0,0.25,0.25,0.128,0.133,98.89,98.02,81.68,41,0.038,0.0,1.0,1.0,0.0
