,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0022201227,1610612758,SAC,Sacramento,203084,Harrison Barnes,Harrison,F,,17.000000:34,153.3,152.8,102.8,97.4,50.5,55.3,0.0,0.0,0.0,0.0,0.0,0.0,11.1,1.071,1.079,0.22,0.22,99.52,102.47,85.39,36,0.14
1,0022201227,1610612758,SAC,Sacramento,1631099,Keegan Murray,Keegan,F,,25.000000:48,111.3,112.0,113.2,113.7,-1.9,-1.7,0.118,0.0,14.3,0.0,0.208,0.098,0.0,0.583,0.583,0.207,0.206,94.47,93.95,78.29,50,0.136
2,0022201227,1610612758,SAC,Sacramento,1627734,Domantas Sabonis,Domantas,C,,18.000000:41,137.8,142.1,131.6,129.7,6.2,12.4,0.333,2.5,29.4,0.278,0.25,0.265,11.8,0.667,0.678,0.255,0.254,97.22,96.34,80.29,38,0.199
3,0022201227,1610612758,SAC,Sacramento,1628989,Kevin Huerter,Kevin,G,,21.000000:17,124.3,125.6,110.2,111.4,14.1,14.2,0.176,1.5,21.4,0.0,0.048,0.024,14.3,0.667,0.667,0.22,0.218,99.14,98.1,81.75,43,0.078
4,0022201227,1610612758,SAC,Sacramento,1628368,De'Aaron Fox,De'Aaron,G,,17.000000:34,153.3,152.8,102.8,97.4,50.5,55.3,0.188,3.0,21.4,0.071,0.05,0.059,7.1,0.65,0.65,0.268,0.269,99.52,102.47,85.39,36,0.134
5,0022201227,1610612758,SAC,Sacramento,1628408,PJ Dozier,PJ,,,24.000000:21,68.5,70.0,114.8,120.0,-46.2,-50.0,0.5,3.0,37.5,0.034,0.158,0.083,12.5,0.25,0.25,0.179,0.182,101.87,98.56,82.14,50,0.082
6,0022201227,1610612758,SAC,Sacramento,1630556,Kessler Edwards,Kessler,,,9.000000:46,76.2,81.0,111.6,113.6,-35.4,-32.7,0.0,0.0,0.0,0.083,0.0,0.053,0.0,0.0,0.0,0.08,0.079,109.89,105.67,88.05,21,-0.172
7,0022201227,1610612758,SAC,Sacramento,1628370,Malik Monk,Malik,,,17.000000:42,76.3,77.1,115.0,113.5,-38.7,-36.4,0.375,0.6,23.1,0.0,0.0,0.0,38.5,0.4,0.4,0.263,0.267,97.52,97.63,81.36,35,-0.019
8,0022201227,1610612758,SAC,Sacramento,1626168,Trey Lyles,Trey,,,19.000000:41,78.4,77.5,128.3,126.8,-49.9,-49.3,0.0,0.0,0.0,0.0,0.105,0.054,33.3,0.25,0.25,0.143,0.148,97.59,98.76,82.3,40,-0.029
9,0022201227,1610612758,SAC,Sacramento,203458,Alex Len,Alex,,,12.000000:17,84.6,81.5,91.1,93.1,-6.5,-11.6,0.1,0.0,100.0,0.091,0.308,0.208,0.0,0.0,0.0,0.0,0.0,108.71,109.42,91.18,27,0.135
