,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
114,114,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21701227,2018-04-11T00:00:00,MEM @ OKC,L,13.166666666666666,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,1,0,0,2,0,5,-7,9.2,0,0,9.0,1,13054,13054,13054,21123,15444,20118,3072,6911,11647,3791,13731,14642,13731,12711,17844,19703,18867,16820,4599,8133,1,11691,18674,17225,19142,19978,2016,109,19576,1.0,13:10,
494,494,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21701209,2018-04-09T00:00:00,MEM @ MIN,L,25.116666666666667,2,8,0.25,2,5,0.4,0,0,0.0,1,1,2,2,0,3,1,1,2,0,6,-8,23.4,0,0,20.0,1,13054,13054,13054,11630,15444,10961,20170,3481,4175,7111,13731,14642,13731,5905,17844,16012,8497,16820,486,2512,17404,11691,18674,15609,19948,9720,2016,109,11144,1.0,25:07,
686,686,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21701199,2018-04-08T00:00:00,MEM vs. DET,W,16.216666666666665,2,4,0.5,0,1,0.0,0,0,0.0,1,1,2,2,1,3,0,0,1,0,4,7,17.4,0,0,14.0,1,1,1,1,19125,15444,18324,8363,12784,15030,12784,13731,14642,13731,5905,17844,16012,8497,9095,486,8133,1,5153,18674,18469,5918,13986,2016,109,15738,1.0,16:13,
902,902,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21701188,2018-04-06T00:00:00,MEM vs. SAC,L,22.366666666666667,4,9,0.444,1,3,0.333,0,0,0.0,0,3,3,1,2,2,0,1,0,1,9,3,18.1,0,0,18.0,1,13054,13054,13054,14089,9019,9295,12726,6911,8645,8071,13731,14642,13731,12711,9682,12541,12861,4386,1511,8133,17404,1,12172,11916,9131,13466,2016,109,12644,2.0,22:22,
1301,1301,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21701173,2018-04-04T00:00:00,MEM @ NOP,L,22.666666666666668,1,7,0.143,0,4,0.0,0,0,0.0,1,4,5,1,2,1,0,1,2,1,2,-5,10.5,0,0,10.0,1,13054,13054,13054,13794,19115,12683,22272,12784,6151,12784,13731,14642,13731,5905,6671,7090,12861,4386,4599,8133,17404,11691,12172,21168,17397,19111,2016,109,18828,1.0,22:40,
5539,5539,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21700967,2018-03-07T00:00:00,MEM @ CHI,L,18.611666666666668,2,6,0.333,0,2,0.0,1,1,1.0,0,2,2,0,0,1,0,0,1,1,5,-11,10.4,0,0,9.0,1,13054,13054,13054,17266,15444,14536,17065,12784,11647,12784,10216,13052,1,12711,13412,16012,18867,16820,4599,8133,1,5153,12172,17225,22023,19167,2016,109,19576,1.0,18:37,
5927,5927,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21700954,2018-03-05T00:00:00,MEM @ SAS,L,27.883333333333333,3,5,0.6,0,2,0.0,0,0,0.0,0,1,1,4,2,4,0,0,3,1,6,1,23.2,0,0,19.0,1,13054,13054,13054,9120,12053,16430,5255,12784,11647,12784,13731,14642,13731,12711,17844,19703,3868,4386,125,8133,1,17900,12172,15609,11054,9855,2016,109,11894,1.0,27:53,
6182,6182,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21700936,2018-03-03T00:00:00,MEM @ ORL,L,7.866666666666666,1,4,0.25,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,1,1,0,2,0,4.7,0,0,4.0,1,13054,13054,13054,23376,19115,18324,20170,12784,15030,12784,13731,14642,13731,5905,22415,19703,12861,16820,12224,8133,17404,5153,18674,21168,12059,22855,2016,109,22951,1.0,7:52,
6400,6400,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21700931,2018-03-02T00:00:00,MEM vs. DEN,L,21.55,2,4,0.5,1,2,0.5,0,0,0.0,1,1,2,2,1,5,0,0,3,0,5,-1,24.4,0,0,20.0,1,13054,13054,13054,14748,15444,18324,8363,6911,11647,3791,13731,14642,13731,5905,17844,16012,8497,9095,32,8133,1,17900,18674,17225,13246,9106,2016,109,11144,1.0,21:33,
6698,6698,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21700918,2018-02-28T00:00:00,MEM vs. PHX,L,24.415,3,10,0.3,1,3,0.333,0,0,0.0,2,1,3,0,3,1,0,1,4,0,7,-1,10.6,0,0,13.0,1,13054,13054,13054,12272,12053,7776,19162,6911,8645,8071,13731,14642,13731,2736,17844,12541,18867,1936,4599,8133,17404,22329,18674,14463,13246,19027,2016,109,16469,2.0,24:25,
7013,7013,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21700898,2018-02-26T00:00:00,MEM @ BOS,L,15.733333333333333,1,6,0.167,1,4,0.25,1,2,0.5,1,1,2,1,0,0,0,0,0,1,4,-3,7.9,0,0,8.0,1,13054,13054,13054,19457,19115,14536,21968,6911,6151,10398,10216,7582,10590,5905,17844,16012,12861,16820,12224,8133,1,1,12172,18469,15423,20866,2016,109,20351,1.0,15:44,
7247,7247,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21700885,2018-02-24T00:00:00,MEM @ MIA,L,12.5,3,4,0.75,2,3,0.667,0,0,0.0,0,1,1,0,2,1,1,0,1,0,8,1,13.2,0,0,15.0,1,13054,13054,13054,21491,12053,18324,1914,3481,8645,2049,13731,14642,13731,12711,17844,19703,18867,4386,4599,2512,1,5153,18674,13058,11054,17181,2016,109,14956,1.0,12:30,
8323,8323,2017-18,1627988,Myke Henry,Myke,1610612763,MEM,Memphis Grizzlies,21700839,2018-02-11T00:00:00,MEM @ OKC,L,14.85,3,6,0.5,1,4,0.25,1,1,1.0,0,0,0,2,0,1,0,0,0,1,8,-10,14.0,0,0,13.0,1,13054,13054,13054,20058,12053,14536,8363,6911,6151,10398,10216,13052,1,12711,22415,23339,8497,16820,4599,8133,1,1,12172,13058,21382,16548,2016,109,16469,1.0,14:51,
