,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
11033,11033,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300684,2024-02-01T00:00:00,LAL @ BOS,W,16.05666666666667,3,7,0.429,2,3,0.667,2,2,1.0,3,4,7,2,3,3,0,1,0,1,10,17,27.4,0,0,27.0,1,1,1,1,18631,12407,12577,14111,4439,10539,2080,6103,7481,1,1506,6490,3886,9909,1850,384,8529,17336,1,11166,11320,1815,8517,2248,138,7909,1,16:03,
11370,11370,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300669,2024-01-30T00:00:00,LAL @ ATL,L,25.676666666666662,6,6,1.0,0,0,0.0,0,1,0.0,1,3,4,3,2,2,0,0,2,1,12,-9,25.3,0,0,23.0,1,13252,13252,13252,11519,5451,14269,1,14651,20560,14651,13417,12641,13417,6495,9403,9569,7003,4132,1349,8529,1,13042,11166,9297,20690,9645,2248,138,10143,1,25:41,
11463,11463,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300662,2024-01-29T00:00:00,LAL @ HOU,L,7.45,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0,0,0,1,0,0,0,1,3,-6,6.0,0,0,5.0,1,13252,13252,13252,22937,18910,23222,1,14651,20560,14651,10099,12641,1,13449,22149,23241,19657,16035,4430,8529,1,1,11166,19746,18385,21849,2248,138,22092,1,7:27,
11940,11940,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300650,2024-01-27T00:00:00,LAL @ GSW,W,40.99166666666667,4,7,0.571,0,0,0.0,6,8,0.75,2,7,9,5,2,4,0,0,1,8,14,29,42.3,0,0,36.0,1,1,1,1,423,9679,12577,6891,14651,20560,14651,1214,948,8216,3105,1913,2119,3413,4132,95,8529,1,6163,278,7525,246,2700,2248,138,4037,1,40:60,
12262,12262,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300633,2024-01-25T00:00:00,LAL vs. CHI,W,26.833333333333332,8,11,0.727,1,1,1.0,0,1,0.0,0,5,5,0,2,3,1,0,2,1,17,0,33.0,0,0,31.0,1,1,1,1,10570,2806,7189,2843,8460,16961,1,13417,12641,13417,13449,4442,7149,19657,4132,384,2720,1,13042,11166,5445,12394,5815,2248,138,5923,1,26:50,
12568,12568,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300618,2024-01-23T00:00:00,LAL @ LAC,L,25.15,4,10,0.4,0,1,0.0,4,4,1.0,6,3,9,2,2,3,1,3,3,2,12,-9,35.8,0,0,31.0,1,13252,13252,13252,11916,9679,8327,15260,14651,16961,14651,2744,3806,1,156,9403,2119,9909,4132,384,2720,25688,18879,6969,9297,20690,4781,2248,138,5923,1,25:09,
12858,12858,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300605,2024-01-21T00:00:00,LAL vs. POR,W,21.1,2,3,0.667,0,0,0.0,0,0,0.0,2,2,4,2,3,2,0,0,1,0,4,8,14.8,0,0,14.0,1,1,1,1,14997,15517,19584,3541,14651,20560,14651,13417,14233,13417,3105,13100,9569,9909,1850,1349,8529,1,6163,17532,18488,5604,16206,2248,138,16037,1,21:06,
13121,13121,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300591,2024-01-19T00:00:00,LAL vs. BKN,L,19.37,5,5,1.0,2,2,1.0,0,0,0.0,0,5,5,0,0,0,0,0,0,0,12,-10,18.0,0,0,19.0,1,13252,13252,13252,16287,7292,15951,1,4439,13570,1,13417,14233,13417,13449,4442,7149,19657,16035,12108,8529,1,1,17532,9297,21324,14098,2248,138,12632,1,19:22,
13441,13441,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300577,2024-01-17T00:00:00,LAL vs. DAL,W,25.85,1,3,0.333,0,1,0.0,5,8,0.625,1,8,9,1,1,1,0,1,3,5,7,10,21.3,0,0,19.0,1,1,1,1,11367,18910,19584,17629,14651,16961,14651,1879,948,10242,6495,1265,2119,14131,8468,4430,8529,17336,18879,1530,14704,4460,12025,2248,138,12632,1,25:51,
13642,13642,2023-24,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,Los Angeles Lakers,22300565,2024-01-15T00:00:00,LAL vs. OKC,W,18.098333333333333,2,2,1.0,0,0,0.0,1,1,1.0,0,4,4,2,0,3,0,0,0,3,5,5,21.8,0,0,17.0,1,1,1,1,17237,15517,21406,1,14651,20560,14651,10099,12641,1,13449,6490,9569,9909,16035,384,8529,1,1,4295,17241,7721,11704,2248,138,13968,1,18:06,
