,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
164,164,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501221,2006-04-19T00:00:00,PHI @ CHA,L,29.283333333333335,5,11,0.455,1,2,0.5,0,1,0.0,0,1,1,1,3,1,0,1,2,1,11,-7,13.7,0,0,16.0,1,12351,12351,12351,9223,5946,6065,11152,3684,6440,2457,14328,14015,14328,13441,15938,18232,11103,2092,4297,7293,16481,8919,12977,8584,18797,14801,1992,38,12400,,29:17,
344,344,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501212,2006-04-18T00:00:00,PHI vs. NJN,W,28.833333333333332,5,11,0.455,2,4,0.5,2,2,1.0,0,3,3,1,5,0,0,0,0,1,14,5,14.1,0,0,20.0,1,1,1,1,9513,5946,6065,11152,1692,2919,2457,7176,8930,1,13441,8394,11707,11103,314,11222,7293,1,1,12977,6092,6674,14550,1992,38,9845,,28:50,
836,836,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501188,2006-04-15T00:00:00,PHI @ ORL,L,7.39,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,5,9,6.5,0,0,7.0,1,12351,12351,12351,21789,13489,19690,1,3684,8913,1,14328,15206,14328,13441,20590,21766,11103,16515,11222,7293,1,1,12977,15162,4101,19668,1992,38,18806,,7:23,
948,948,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501181,2006-04-14T00:00:00,PHI @ MIA,L,9.053333333333333,1,6,0.167,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,3.0,0,0,4.0,1,12351,12351,12351,21101,16891,12829,20052,3684,6440,2457,14328,15206,14328,13441,20590,21766,16528,16515,11222,7293,1,1,18429,18004,10279,22024,1992,38,20964,,9:03,
1373,1373,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501165,2006-04-12T00:00:00,PHI @ NJN,W,21.65,4,10,0.4,0,0,0.0,0,0,0.0,0,0,0,1,1,1,0,1,1,0,8,3,11.5,0,0,11.0,1,1,1,1,14223,8028,7149,13174,7578,12302,7578,14328,15206,14328,13441,20590,21766,11103,9311,4297,7293,16481,3753,18429,11481,8317,16247,1992,38,15864,,21:39,
1655,1655,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501149,2006-04-10T00:00:00,PHI vs. WAS,W,11.878333333333334,2,3,0.667,2,2,1.0,0,0,0.0,1,3,4,1,0,0,0,0,3,1,6,3,12.3,0,0,13.0,1,1,1,1,19940,13489,17928,2689,1692,6440,1,14328,15206,14328,7065,8394,9040,11103,16515,11222,7293,1,14480,12977,13691,8317,15710,1992,38,14404,,11:53,
1947,1947,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501135,2006-04-08T00:00:00,PHI @ CHI,W,13.785,2,6,0.333,1,3,0.333,2,2,1.0,0,4,4,0,1,0,0,0,1,2,7,-11,10.8,0,0,12.0,1,1,1,1,18905,13489,12829,15463,3684,4432,5006,7176,8930,1,13441,5734,9040,16528,9311,11222,7293,1,3753,8829,12783,21520,16720,1992,38,15153,,13:47,
2016,2016,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501121,2006-04-07T00:00:00,PHI vs. BOS,L,6.733333333333333,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-7,1.2,0,0,1.0,1,12351,12351,12351,22080,20684,19690,20684,7578,12302,7578,14328,15206,14328,13441,15938,18232,16528,16515,11222,7293,1,3753,18429,21594,18797,23126,1992,38,23185,,6:44,
2481,2481,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501109,2006-04-05T00:00:00,PHI vs. CHI,L,13.49,3,9,0.333,1,3,0.333,0,0,0.0,0,2,2,0,1,0,0,0,4,1,7,-14,8.4,0,0,10.0,1,12351,12351,12351,19073,10557,8454,15463,3684,4432,5006,14328,15206,14328,13441,11825,14874,16528,9311,11222,7293,1,19332,12977,12783,22855,18369,1992,38,16587,,13:29,
2501,2501,2005-06,2584,Willie Green,Willie,1610612755,PHI,Philadelphia 76ers,20501097,2006-04-04T00:00:00,PHI @ CLE,L,10.566666666666666,4,6,0.667,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,0,1,0,9,-11,8.0,0,0,10.0,1,12351,12351,12351,20469,8028,12829,2689,3684,6440,2457,14328,15206,14328,13441,20590,21766,16528,9311,11222,7293,1,3753,18429,10535,21520,18663,1992,38,16587,,10:34,
