,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
137,137,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601217,2017-04-12T00:00:00,ORL vs. DET,W,18.118333333333332,3,7,0.429,3,5,0.6,3,4,0.75,0,0,0,1,2,0,0,0,2,2,12,-19,11.5,0,0,16.0,1,1,1,1,17507,11660,12283,13168,1368,3567,2920,4456,4139,8278,12923,22443,23356,12386,4192,12237,7994,1,11770,7572,8198,25080,18210,2032,118,13758,1,18:07,
434,434,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601206,2017-04-10T00:00:00,ORL @ CHI,L,14.226666666666668,0,5,0.0,0,3,0.0,0,0,0.0,0,0,0,1,2,0,0,0,1,0,0,-18,-0.5,0,0,1.0,1,13060,13060,13060,20340,22732,16180,22732,12221,7843,12221,13946,14843,13946,12923,22443,23356,12386,4192,12237,7994,1,5176,18615,23374,24878,25985,2032,118,24764,2,14:14,
783,783,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601190,2017-04-08T00:00:00,ORL vs. IND,L,13.7,2,7,0.286,2,5,0.4,2,3,0.667,0,3,3,1,0,0,0,0,0,1,8,-12,13.1,0,0,14.0,1,13060,13060,13060,20691,15070,12283,19320,3010,3567,6806,6376,6524,9575,12923,9449,12475,12386,16648,12237,7994,1,1,12086,12666,22647,16946,2032,118,15341,1,13:42,
1217,1217,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601174,2017-04-06T00:00:00,ORL vs. BKN,W,30.6,7,12,0.583,4,7,0.571,2,2,1.0,0,2,2,0,2,0,0,0,2,2,20,14,20.4,0,0,26.0,1,1,1,1,6892,3047,5196,5960,551,1418,3304,6376,7939,1,12923,13221,15902,18531,4192,12237,7994,1,11770,7572,2898,2444,11478,2032,118,7037,1,30:36,
1571,1571,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601156,2017-04-04T00:00:00,ORL @ CLE,L,20.55,2,7,0.286,1,4,0.25,6,6,1.0,1,5,6,3,2,2,0,0,1,4,11,3,26.7,0,0,25.0,1,13060,13060,13060,15490,15070,12283,19320,6264,5404,9982,1265,2071,1,6171,4395,5249,5382,4192,1493,7994,1,5176,2656,9213,9094,7575,2032,118,7591,1,20:33,
1949,1949,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601139,2017-04-01T00:00:00,ORL @ BKN,L,18.483333333333334,4,7,0.571,1,4,0.25,2,2,1.0,0,0,0,0,1,0,1,0,1,2,11,-17,13.0,0,0,14.0,1,13060,13060,13060,17196,8702,12283,6176,6264,5404,9982,6376,7939,1,12923,22443,23356,18531,8857,12237,2482,1,5176,7572,9213,24613,17009,2032,118,15341,1,18:29,
2061,2061,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601129,2017-03-31T00:00:00,ORL @ BOS,L,17.866666666666667,4,9,0.444,3,6,0.5,2,2,1.0,0,1,1,0,1,1,1,1,0,1,13,12,19.2,0,0,21.0,1,13060,13060,13060,17721,8702,8880,12539,1368,2314,3584,6376,7939,1,12923,17700,19668,18531,8857,4652,2482,17509,1,12086,7338,3181,12305,2032,118,10056,1,17:52,
2415,2415,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601112,2017-03-29T00:00:00,ORL vs. OKC,L,13.915,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,1,0,0,3,0,0,6,5.7,0,0,4.0,1,13060,13060,13060,20547,22732,18194,22732,12221,10977,12221,13946,14843,13946,12923,17700,19668,12386,16648,4652,7994,1,17848,18615,23374,6692,22238,2032,118,22998,1,13:55,
2684,2684,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601097,2017-03-27T00:00:00,ORL @ TOR,L,13.05,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,1,1,2,0,1,0,2,4,-10,12.9,0,0,11.0,1,13060,13060,13060,21066,18863,20108,16811,12221,14538,12221,6376,7939,1,12923,13221,15902,12386,8857,1493,7994,17509,1,7572,18247,21453,17070,2032,118,17859,1,13:03,
3270,3270,2016-17,201975,Jodie Meeks,Jodie,1610612753,ORL,Orlando Magic,21601074,2017-03-24T00:00:00,ORL vs. DET,W,20.713333333333335,6,12,0.5,3,4,0.75,0,0,0.0,1,1,2,0,0,0,0,1,0,0,15,0,17.4,0,0,20.0,1,1,1,1,15363,4424,5196,8149,1368,5404,1645,13946,14843,13946,6171,17700,15902,18531,16648,12237,7994,17509,1,18615,5709,12096,13660,2032,118,10793,1,20:43,
