,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
404,404,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601211,2017-04-10T00:00:00,GSW vs. UTA,L,23.116666666666667,2,5,0.4,0,1,0.0,0,2,0.0,1,3,4,1,2,0,2,0,2,1,4,-2,14.3,0,0,13.0,1,13060,13060,13060,13350,15070,16180,14323,12221,14538,12221,13946,7939,13946,6171,9449,9421,12386,4192,12237,816,1,11770,12086,18247,14252,16016,2032,118,16174,1,23:07,
771,771,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601195,2017-04-08T00:00:00,GSW vs. NOP,W,21.133333333333333,7,10,0.7,1,4,0.25,0,0,0.0,0,5,5,5,0,0,0,0,0,0,15,15,28.5,0,0,26.0,1,1,1,1,15015,3047,7506,2745,6264,5404,9982,13946,14843,13946,12923,4395,7038,2448,16648,12237,7994,1,1,18615,5709,2108,6623,2032,118,7037,1,21:08,
1424,1424,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601162,2017-04-04T00:00:00,GSW vs. MIN,W,23.0,4,4,1.0,1,1,1.0,2,2,1.0,0,2,2,3,1,0,0,0,3,2,11,14,16.9,0,0,17.0,1,1,1,1,13456,8702,18194,1,6264,14538,1,6376,7939,1,12923,13221,15902,5382,8857,12237,7994,1,17848,7572,9213,2444,13996,2032,118,13020,1,23:00,
1774,1774,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601152,2017-04-02T00:00:00,GSW vs. WAS,W,26.433333333333337,3,5,0.6,1,3,0.333,2,2,1.0,0,2,2,4,2,1,1,0,1,3,9,3,21.4,0,0,20.0,1,1,1,1,10480,11660,16180,5049,6264,7843,7723,6376,7939,1,12923,13221,15902,3629,4192,4652,2482,1,5176,4543,11491,9094,10790,2032,118,10793,1,26:26,
2062,2062,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601136,2017-03-31T00:00:00,GSW vs. HOU,W,28.483333333333334,6,12,0.5,2,6,0.333,0,0,0.0,1,4,5,5,0,2,3,0,2,0,14,10,42.5,0,0,36.0,1,1,1,1,8690,4424,5196,8149,3010,2314,7723,13946,14843,13946,6171,6518,7038,2448,16648,1493,269,1,11770,18615,6481,4076,1907,2032,118,2896,1,28:29,
2356,2356,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601118,2017-03-29T00:00:00,GSW @ SAS,W,30.176666666666662,6,9,0.667,2,3,0.667,0,0,0.0,0,6,6,1,0,2,0,0,0,1,14,17,28.7,0,0,27.0,1,1,1,1,7265,4424,8880,2938,3010,7843,1998,13946,14843,13946,12923,2949,5249,12386,16648,1493,7994,1,1,12086,6481,1547,6509,2032,118,6488,1,30:11,
2541,2541,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601108,2017-03-28T00:00:00,GSW @ HOU,W,30.633333333333333,4,9,0.444,1,5,0.2,3,4,0.75,0,6,6,7,1,0,0,0,1,4,12,10,28.7,0,0,26.0,1,1,1,1,6868,8702,8880,12539,6264,3567,11161,4456,4139,8278,12923,2949,5249,1163,8857,12237,7994,1,5176,2656,8198,4076,6509,2032,118,7037,1,30:38,
2832,2832,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601094,2017-03-26T00:00:00,GSW vs. MEM,W,31.95,7,8,0.875,2,2,1.0,4,5,0.8,0,7,7,4,0,2,1,0,0,3,20,9,43.4,0,0,39.0,1,1,1,1,5766,3047,10580,1194,3010,10977,1,2830,3156,7710,12923,1966,3867,3629,16648,1493,2482,1,1,4543,2898,4644,1729,2032,118,2116,1,31:57,
3214,3214,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601081,2017-03-24T00:00:00,GSW vs. SAC,W,26.5,4,7,0.571,0,1,0.0,1,2,0.5,0,1,1,3,0,0,0,0,1,1,9,11,14.7,0,0,13.0,1,1,1,1,10414,8702,12283,6176,12221,14538,12221,10567,7939,10848,12923,17700,19668,5382,16648,12237,7994,1,5176,12086,11491,3615,15697,2032,118,16174,1,26:30,
3831,3831,2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,21601049,2017-03-20T00:00:00,GSW @ OKC,W,21.75,1,4,0.25,0,1,0.0,4,4,1.0,0,4,4,4,0,2,1,1,0,3,6,16,25.8,0,0,20.0,1,1,1,1,14509,18863,18194,20034,12221,14538,12221,2830,4139,1,12923,6518,9421,3629,16648,1493,2482,17509,1,4543,15401,1813,8064,2032,118,10793,1,21:45,
