,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,301,301,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701223,2008-04-16T00:00:00,SAS vs. UTA,W,17.583333333333332,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,0,1,1,2,3,7.4,0,0,6.0,1,1,1,1,16926,17475,20286,7452,8528,10064,8528,13965,14875,13965,13428,12053,15019,17168,16371,4416,7394,1,4269,12461,19306,8527,19479,2165,41,19935,,17:35,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,17.000000:35,104.4,102.9,96.0,97.0,8.4,6.0,0.0,0.0,0.0,0.0,0.133,0.069,0.0,0.5,0.5,0.056,0.056,91.23,91.45,76.21,34,0.048,12.0
1,464,464,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701210,2008-04-14T00:00:00,SAS @ SAC,W,34.13,2,5,0.4,1,4,0.25,0,0,0.0,0,4,4,1,1,0,0,0,2,1,5,4,10.3,0,0,11.0,1,1,1,1,5954,14171,15105,13417,4271,3429,7146,13965,14875,13965,13428,6016,9131,11590,9079,11345,7394,1,9907,12461,15717,7678,17637,2165,41,16434,,34:08,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,34.000000:08,108.0,110.9,104.4,103.1,3.6,7.9,0.037,1.0,14.3,0.0,0.143,0.077,14.3,0.5,0.5,0.087,0.089,91.33,90.71,75.59,64,0.035,0.0
2,696,696,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701198,2008-04-13T00:00:00,SAS @ LAL,L,33.233333333333334,1,4,0.25,1,2,0.5,1,3,0.333,0,3,3,0,0,1,0,0,1,1,4,-25,10.6,0,0,10.0,1,12495,12495,12495,6555,17475,16816,18665,4271,7335,2684,10796,7304,13495,13428,8609,11879,17168,16371,4416,7394,1,4269,12461,16719,24606,17415,2165,41,17152,,33:14,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,33.000000:14,79.2,80.0,120.0,119.7,-40.8,-39.7,0.0,0.0,0.0,0.0,0.1,0.046,0.0,0.375,0.376,0.077,0.076,87.7,87.38,72.82,60,0.019,0.0
3,930,930,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701185,2008-04-11T00:00:00,SAS vs. SEA,W,25.685,2,3,0.667,0,1,0.0,0,0,0.0,0,6,6,1,0,0,0,0,2,1,4,18,12.7,0,0,11.0,1,1,1,1,11508,14171,18621,2750,8528,10064,8528,13965,14875,13965,13428,2785,5291,11590,16371,11345,7394,1,9907,12461,16719,1208,16032,2165,41,16434,,25:41,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,25.000000:41,100.3,105.5,76.0,75.5,24.3,30.0,0.043,0.0,25.0,0.0,0.214,0.113,0.0,0.667,0.667,0.049,0.049,103.23,100.91,84.1,55,0.099,12.0
4,1231,1231,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701172,2008-04-09T00:00:00,SAS vs. PHX,L,31.616666666666667,2,8,0.25,0,1,0.0,0,0,0.0,2,3,5,2,0,0,0,0,4,1,4,-7,13.0,0,0,11.0,1,12495,12495,12495,7590,14171,10287,18665,8528,10064,8528,13965,14875,13965,3627,8609,6959,7845,16371,11345,7394,1,20166,12461,16719,18545,15801,2165,41,16434,,31:37,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,31.000000:37,98.6,98.3,114.6,112.1,-16.0,-13.8,0.091,0.0,20.0,0.061,0.13,0.089,0.0,0.25,0.25,0.119,0.12,87.72,88.81,74.01,59,0.0,12.0
5,1707,1707,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701147,2008-04-06T00:00:00,SAS @ POR,W,39.03333333333333,4,7,0.571,2,4,0.5,0,0,0.0,0,3,3,1,1,0,0,0,3,1,10,3,14.1,0,0,16.0,1,1,1,1,2743,8492,11848,5661,2008,3429,2684,13965,14875,13965,13428,8609,11879,11590,9079,11345,7394,1,15598,12461,9932,8527,15097,2165,41,12943,,39:02,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,39.000000:02,82.3,84.6,77.8,78.8,4.5,5.8,0.056,1.0,11.1,0.0,0.077,0.039,11.1,0.714,0.714,0.11,0.111,82.19,80.55,67.12,65,0.086,0.0
6,2000,2000,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701133,2008-04-04T00:00:00,SAS @ UTA,L,23.448333333333338,1,4,0.25,1,3,0.333,0,0,0.0,1,4,5,1,0,1,0,0,0,0,3,-5,13.5,0,0,12.0,1,12495,12495,12495,13120,17475,16816,18665,4271,5119,5654,13965,14875,13965,6965,6016,6959,11590,16371,4416,7394,1,1,18018,18473,16758,15469,2165,41,15737,,23:27,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,23.000000:27,72.0,71.4,85.9,83.3,-13.8,-11.9,0.083,0.0,20.0,0.045,0.143,0.1,0.0,0.375,0.375,0.089,0.09,84.34,85.98,71.65,42,0.109,0.0
7,2516,2516,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701110,2008-04-01T00:00:00,SAS vs. GSW,W,28.21,4,9,0.444,4,6,0.667,0,0,0.0,0,7,7,2,1,0,0,0,3,0,12,6,22.4,0,0,25.0,1,1,1,1,9849,8492,8871,11715,328,1342,1540,13965,14875,13965,13428,1874,3978,7845,9079,11345,7394,1,15598,18018,8091,6153,9968,2165,41,7580,,28:13,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,28.000000:13,99.7,98.3,91.6,89.8,8.0,8.5,0.095,2.0,16.7,0.0,0.179,0.106,8.3,0.667,0.667,0.154,0.158,99.57,101.24,84.37,60,0.115,12.0
8,2866,2866,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701090,2008-03-30T00:00:00,SAS vs. HOU,W,31.266666666666666,3,6,0.5,1,2,0.5,2,4,0.5,0,3,3,1,0,1,1,0,2,3,9,15,20.1,0,0,18.0,1,1,1,1,7815,11102,13439,7452,4271,7335,2684,6958,4664,10724,13428,8609,11879,11590,16371,4416,2605,1,9907,5111,11056,1974,11289,2165,41,11663,,31:16,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,31.000000:16,127.7,125.0,105.6,105.3,22.1,19.7,0.036,0.0,11.1,0.0,0.083,0.047,0.0,0.583,0.58,0.116,0.118,88.67,89.81,74.84,60,0.066,12.0
9,3042,3042,2007-08,1477,Bruce Bowen,Bruce,1610612759,SAS,San Antonio Spurs,20701079,2008-03-28T00:00:00,SAS vs. MIN,W,18.52,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,1,0,2,2,4.4,0,0,4.0,1,1,1,1,16332,17475,18621,15704,8528,7335,8528,13965,14875,13965,13428,12053,15019,17168,16371,11345,7394,1,4269,18018,19306,9444,21365,2165,41,21271,,18:31,,1610612759,SAS,San Antonio,1477,Bruce Bowen,Bruce,F,,18.000000:31,104.0,97.2,95.8,97.1,8.2,0.2,0.0,0.0,0.0,0.0,0.105,0.067,0.0,0.333,0.333,0.079,0.084,88.22,90.71,75.59,36,0.017,12.0
