,PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,DD2_RANK,TD3_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID.1,TEAM_CITY,PLAYER_ID.1,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,WL_Loss,MATCHUP_Away,MATCHUP_Home,player_name
0,1630186,1610612761,22301022,2024-03-23,3,5,0.6,2,4,0.5,0,0,0.0,0,4,4,1,0,0,0,0,2,1,8,9,0,0,1,13252,13252,13252,17241,12407,15951,5678,4439,7844,4049,13417,14233,13417,13449,6490,9569,14131,16035,12108,8529,1,13042,11166,13454,5021,2248,138,1,18:05,,1610612761,Toronto,1630186,G,,18.000000:05,127.4,134.2,112.3,113.5,15.1,20.7,0.071,0.0,16.7,0.0,0.2,0.105,0.0,0.8,0.8,0.119,0.116,102.78,99.54,82.95,38,0.123,1.0,1.0,0.0,Jahmi'us Ramsey
1,1630186,1610612761,22301012,2024-03-22,3,7,0.429,1,4,0.25,0,0,0.0,0,0,0,2,2,2,0,0,4,0,7,-11,0,0,1,13252,13252,13252,16360,12407,12577,14111,8460,7844,11776,13417,14233,13417,13449,22149,23241,9909,4132,1349,8529,1,22902,17532,14704,21910,2248,138,1,19:16,,1610612761,Toronto,1630186,,,19.000000:16,98.1,93.0,122.2,118.6,-24.1,-25.6,0.154,1.0,18.2,0.0,0.0,0.0,18.2,0.5,0.5,0.205,0.221,102.74,107.13,89.27,43,0.012,1.0,0.0,1.0,Jahmi'us Ramsey
2,1630186,1610612761,22300999,2024-03-20,5,8,0.625,1,3,0.333,0,0,0.0,0,3,3,1,2,1,0,0,0,0,11,-21,0,0,1,13252,13252,13252,14161,7292,11049,5137,8460,10539,9124,13417,14233,13417,13449,9403,12548,14131,4132,4430,8529,1,1,17532,10286,25405,2248,138,1,22:11,,1610612761,Toronto,1630186,,,22.000000:11,83.7,84.4,130.0,128.3,-46.3,-43.8,0.1,0.5,9.1,0.0,0.13,0.07,18.2,0.688,0.688,0.208,0.207,98.24,98.45,82.04,45,0.132,1.0,0.0,1.0,Jahmi'us Ramsey
3,1630186,1610612761,22300979,2024-03-17,2,6,0.333,1,4,0.25,0,0,0.0,1,0,1,2,3,2,0,0,1,0,5,7,0,0,1,13252,13252,13252,16841,15517,14269,17629,8460,7844,11776,13417,14233,13417,6495,22149,19646,9909,1850,1349,8529,1,6163,17532,17241,6299,2248,138,1,18:39,,1610612761,Toronto,1630186,,,18.000000:39,126.4,117.1,100.4,100.0,26.1,17.1,0.133,0.67,18.2,0.056,0.0,0.026,27.3,0.417,0.417,0.191,0.205,101.37,105.49,87.9,41,0.021,1.0,1.0,0.0,Jahmi'us Ramsey
4,1630186,1610612761,22300963,2024-03-15,3,5,0.6,1,2,0.5,3,4,0.75,1,4,5,1,0,1,0,1,2,2,10,5,0,0,1,13252,13252,13252,17169,12407,15951,5678,8460,13570,4049,4235,3806,8216,6495,6490,7149,14131,16035,4430,8529,17336,13042,6969,11320,7721,2248,138,1,18:13,,1610612761,Toronto,1630186,,,18.000000:13,115.9,118.9,105.2,102.6,10.7,16.3,0.083,0.0,12.5,0.056,0.235,0.143,0.0,0.7,0.74,0.171,0.171,98.89,98.84,82.36,37,0.144,1.0,0.0,1.0,Jahmi'us Ramsey
5,1630186,1610612761,22300946,2024-03-13,1,7,0.143,0,4,0.0,2,2,1.0,1,6,7,0,0,1,0,1,1,2,4,-10,0,0,1,13252,13252,13252,16241,18910,12577,22249,14651,7844,14651,6103,7481,1,6495,2880,3886,19657,16035,4430,8529,17336,6163,6969,18488,21324,2248,138,1,19:26,,1610612761,Toronto,1630186,,,19.000000:26,70.6,67.4,91.5,90.7,-20.9,-23.3,0.0,0.0,0.0,0.038,0.25,0.14,0.0,0.143,0.254,0.174,0.186,103.39,106.21,88.51,43,0.071,1.0,1.0,0.0,Jahmi'us Ramsey
6,1630186,1610612761,22300890,2024-03-05,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,0,2,-7,0,0,1,13252,13252,13252,23890,18910,19584,17629,14651,16961,14651,13417,14233,13417,6495,17515,15973,14131,16035,12108,8529,1,1,17532,21036,19219,2248,138,1,5:15,,1610612761,Toronto,1630186,,,5.000000:15,88.3,83.3,126.5,141.7,-38.1,-58.3,0.333,0.0,25.0,0.111,0.077,0.091,0.0,0.333,0.333,0.188,0.196,113.19,109.71,91.43,12,0.114,1.0,0.0,1.0,Jahmi'us Ramsey
