,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0020900836,1610612766,CHA,Charlotte,2222,Gerald Wallace,Gerald,F,,48.000000:00,100.7,103.3,108.9,106.5,-8.2,-3.2,0.208,0.0,18.5,0.063,0.2,0.129,0.0,0.647,0.733,0.214,0.213,91.66,91.5,76.25,91,0.237
1,0020900836,1610612766,CHA,Charlotte,2564,Boris Diaw,Boris,F,,37.000000:52,101.5,103.9,106.8,103.9,-5.2,0.0,0.409,1.8,32.1,0.1,0.152,0.123,17.9,0.654,0.698,0.221,0.221,96.23,96.36,80.3,76,0.158
2,0020900836,1610612766,CHA,Charlotte,689,Theo Ratliff,Theo,C,,30.000000:53,110.4,113.8,111.9,112.3,-1.5,1.5,0.0,0.0,0.0,0.036,0.036,0.036,12.5,0.833,0.683,0.121,0.122,90.95,89.39,74.49,58,0.04
3,0020900836,1610612766,CHA,Charlotte,1536,Stephen Jackson,Stephen,G,,39.000000:08,94.4,97.3,100.4,97.4,-6.0,0.0,0.192,1.0,17.2,0.028,0.128,0.08,17.2,0.063,0.183,0.296,0.295,92.66,92.61,77.17,75,-0.038
4,0020900836,1610612766,CHA,Charlotte,101109,Raymond Felton,Raymond,G,,40.000000:50,104.5,107.8,111.5,108.9,-7.0,-1.1,0.333,0.0,52.9,0.0,0.029,0.013,0.0,0.438,0.438,0.09,0.089,92.02,91.69,76.41,77,0.098
5,0020900836,1610612766,CHA,Charlotte,200748,Tyrus Thomas,Tyrus,,,25.000000:12,84.5,83.0,113.2,106.1,-28.8,-23.1,0.0,0.0,0.0,0.038,0.12,0.078,18.2,0.556,0.556,0.212,0.215,87.7,91.43,76.19,47,0.105
6,0020900836,1610612766,CHA,Charlotte,201571,D.J. Augustin,D.J.,,,16.000000:02,107.2,103.2,123.5,120.0,-16.2,-16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.225,0.243,0.251,88.32,91.31,76.09,31,-0.078
7,0020900836,1610612766,CHA,Charlotte,201974,Derrick Brown,Derrick,,,2.000000:04,138.9,133.3,34.7,25.0,104.2,108.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.064,0.5,0.515,66.89,81.29,67.74,3,1.2
8,0020900836,1610612766,CHA,Charlotte,2199,Tyson Chandler,Tyson,,DND - Left foot and ankle soreness.,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
9,0020900836,1610612766,CHA,Charlotte,101211,Stephen Graham,Stephen,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
10,0020900836,1610612766,CHA,Charlotte,201945,Gerald Henderson,Gerald,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
11,0020900836,1610612766,CHA,Charlotte,1737,Nazr Mohammed,Nazr,,DND - Back spasms.,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
12,0020900836,1610612746,LAC,Los Angeles,2446,Rasual Butler,Rasual,F,,37.000000:31,115.1,112.3,103.1,106.9,12.0,5.4,0.087,0.0,11.1,0.0,0.073,0.041,0.0,0.571,0.617,0.19,0.199,93.35,92.76,77.3,73,0.099
13,0020900836,1610612746,LAC,Los Angeles,201599,DeAndre Jordan,DeAndre,F,,16.000000:47,120.7,118.2,109.4,115.2,11.2,3.0,0.0,0.0,0.0,0.071,0.235,0.161,30.0,0.667,0.654,0.27,0.291,95.9,94.42,78.68,33,0.057
14,0020900836,1610612746,LAC,Los Angeles,2549,Chris Kaman,Chris,C,,31.000000:45,109.0,108.1,100.1,104.9,8.9,3.1,0.125,0.5,8.7,0.111,0.294,0.213,17.4,0.5,0.541,0.3,0.311,94.79,92.97,77.48,62,0.125
15,0020900836,1610612746,LAC,Los Angeles,201569,Eric Gordon,Eric,G,,38.000000:59,111.8,106.4,101.0,102.6,10.8,3.8,0.192,2.5,27.8,0.0,0.053,0.026,11.1,0.5,0.5,0.14,0.147,93.26,94.81,79.01,78,0.054
16,0020900836,1610612746,LAC,Los Angeles,1884,Baron Davis,Baron,G,,36.000000:11,105.7,101.4,99.3,101.4,6.4,0.0,0.455,3.33,43.5,0.03,0.103,0.069,13.0,0.375,0.512,0.163,0.171,93.26,94.19,78.49,71,0.135
17,0020900836,1610612746,LAC,Los Angeles,2400,Drew Gooden,Drew,,,27.000000:47,112.0,105.5,97.0,94.5,15.0,10.9,0.0,0.0,0.0,0.2,0.148,0.173,33.3,0.444,0.506,0.227,0.239,91.05,95.02,79.18,55,0.027
18,0020900836,1610612746,LAC,Los Angeles,200783,Craig Smith,Craig,,,19.000000:24,91.9,85.7,95.7,91.2,-3.8,-5.5,0.2,2.0,18.2,0.167,0.176,0.171,9.1,0.5,0.451,0.196,0.206,80.46,85.36,71.13,35,0.129
19,0020900836,1610612746,LAC,Los Angeles,2566,Travis Outlaw,Travis,,,15.000000:53,101.3,103.6,104.6,100.0,-3.4,3.6,0.0,0.0,0.0,0.0,0.071,0.033,0.0,0.833,0.833,0.167,0.168,85.16,86.13,71.77,28,0.143
20,0020900836,1610612746,LAC,Los Angeles,2581,Steve Blake,Steve,,,15.000000:43,101.6,100.0,97.2,96.7,4.4,3.3,0.636,0.0,70.0,0.063,0.154,0.103,0.0,0.5,0.521,0.079,0.082,90.62,91.59,76.33,30,0.274
21,0020900836,1610612746,LAC,Los Angeles,201628,Bobby Brown,Bobby,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
22,0020900836,1610612746,LAC,Los Angeles,200776,Mardy Collins,Mardy,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
23,0020900836,1610612746,LAC,Los Angeles,200779,Steve Novak,Steve,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
