,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
213,213,2010-11,2853,Earl Barron,Earl,1610612757,POR,Portland Trail Blazers,21001227,2011-04-13T00:00:00,POR @ GSW,L,36.65,2,10,0.2,0,0,0.0,1,2,0.5,4,9,13,3,3,0,0,1,4,2,5,-35,22.1,0,0,21.0,1,12551,12551,12551,3645,14343,7515,20251,8666,13752,8666,10775,8399,10901,913,725,554,5151,1991,11571,7858,16556,20677,7975,16077,25140,10051,2133,38,9682,,36:39,
339,339,2010-11,2853,Earl Barron,Earl,1610612757,POR,Portland Trail Blazers,21001214,2011-04-12T00:00:00,POR vs. MEM,W,0.56,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,2,2,3.2,0,0,3.0,1,1,1,1,25014,17785,22313,1,8666,13752,8666,14187,15157,14187,13200,16337,18587,17183,16494,11571,7858,1,1,18434,19760,9453,22505,2133,38,22446,,0:34,
4524,4524,2010-11,2853,Earl Barron,Earl,1610612749,MIL,Milwaukee Bucks,21001007,2011-03-16T00:00:00,MIL vs. ORL,L,20.93,3,6,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,1,0,1,5,1,6,1,12.6,0,0,11.0,1,12551,12551,12551,14887,11210,13551,7819,8666,13752,8666,14187,15157,14187,3434,16337,11636,17183,16494,4411,7858,16556,23517,12408,14454,10499,16279,2133,38,16674,,20:56,
4669,4669,2010-11,2853,Earl Barron,Earl,1610612749,MIL,Milwaukee Bucks,21000554,2011-03-15T00:00:00,MIL @ ATL,L,15.283333333333331,4,10,0.4,0,0,0.0,0,0,0.0,3,1,4,4,1,1,0,0,1,1,8,1,20.8,0,0,18.0,1,12551,12551,12551,18664,8488,7515,13736,8666,13752,8666,14187,15157,14187,1807,16337,8902,3480,9152,4411,7858,1,4451,12408,12071,10499,10818,2133,38,11630,,15:17,
4968,4968,2010-11,2853,Earl Barron,Earl,1610612749,MIL,Milwaukee Bucks,21000988,2011-03-13T00:00:00,MIL @ BOS,L,10.233333333333333,4,7,0.571,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,1,2,10,-6,11.2,0,0,11.0,1,12551,12551,12551,21417,8488,11869,5995,8666,13752,8666,6796,8399,1,13200,16337,18587,17183,16494,11571,7858,1,4451,7975,9880,18011,17260,2133,38,16674,,10:14,
5165,5165,2010-11,2853,Earl Barron,Earl,1610612749,MIL,Milwaukee Bucks,21000980,2011-03-12T00:00:00,MIL vs. PHI,W,5.433333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,-4,0.0,0,0,0.0,1,1,1,1,23371,21564,22313,21564,8666,13752,8666,14187,15157,14187,13200,21028,22216,17183,16494,11571,7858,1,10314,18434,22308,16054,24268,2133,38,24328,,5:26,
5524,5524,2010-11,2853,Earl Barron,Earl,1610612749,MIL,Milwaukee Bucks,21000959,2011-03-09T00:00:00,MIL vs. CLE,W,4.2,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,4,0,6.4,0,0,6.0,1,1,1,1,23858,14343,20651,1,8666,13752,8666,14187,15157,14187,13200,12039,14958,17183,16494,11571,7858,1,1,18434,17086,11567,20478,2133,38,20328,,4:12,
6423,6423,2010-11,2853,Earl Barron,Earl,1610612749,MIL,Milwaukee Bucks,21000922,2011-03-04T00:00:00,MIL vs. PHX,L,13.383333333333333,2,4,0.5,0,0,0.0,0,0,0.0,2,1,3,0,1,0,1,0,0,0,4,0,9.6,0,0,9.0,1,12551,12551,12551,19805,14343,17103,7819,8666,13752,8666,14187,15157,14187,3434,16337,11636,17183,9152,11571,2612,1,1,18434,17086,11567,18380,2133,38,18150,,13:23,
6850,6850,2010-11,2853,Earl Barron,Earl,1610612749,MIL,Milwaukee Bucks,21000899,2011-03-01T00:00:00,MIL vs. DET,W,15.7,2,7,0.286,0,0,0.0,0,0,0.0,5,4,9,0,0,0,1,0,1,0,4,5,17.8,0,0,15.0,1,1,1,1,18401,14343,11869,18387,8666,13752,8666,14187,15157,14187,422,5857,2102,17183,16494,11571,2612,1,4451,18434,17086,6885,12694,2133,38,13715,,15:42,
16756,16756,2010-11,2853,Earl Barron,Earl,1610612756,PHX,Phoenix Suns,21000405,2010-12-19T00:00:00,PHX @ OKC,W,5.445,1,4,0.25,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,1,0,2,-2,7.4,0,0,6.0,1,1,1,1,23368,17785,17103,19035,8666,13752,8666,14187,15157,14187,6688,16337,14958,17183,16494,11571,2612,1,4451,18434,19760,13874,19842,2133,38,20328,,5:27,
