,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
1577,1577,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22001017,2021-05-08T00:00:00,OKC @ GSW,L,24.183333333333337,5,13,0.385,3,7,0.429,3,4,0.75,2,2,4,1,1,0,0,1,2,5,16,-23,21.3,0,0,24.0,1,11623,11623,11623,11039,6152,4300,13990,1926,2331,6364,3646,3346,7245,2547,12139,8731,11678,7632,10665,7210,15321,10833,1350,5102,22489,10288,1849,143,8016,1,24:11,
1875,1875,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22001001,2021-05-06T00:00:00,OKC @ GSW,L,21.75,3,13,0.231,1,6,0.167,0,0,0.0,1,1,2,3,1,1,0,0,4,2,7,-16,15.9,0,0,15.0,1,11623,11623,11623,12847,10694,4300,18536,7373,3460,12017,12008,12752,12008,5246,15987,14385,5509,7632,4032,7210,1,19926,6289,12975,21158,13665,1849,143,13541,1,21:45,
2271,2271,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22000988,2021-05-04T00:00:00,OKC vs. SAC,L,28.616666666666667,3,16,0.188,2,8,0.25,2,4,0.5,2,2,4,4,1,0,0,2,3,3,10,-8,19.8,0,0,20.0,1,11623,11623,11623,7618,10694,2412,19259,3957,1505,10244,5395,3346,9461,2547,12139,8731,3751,7632,10665,7210,20949,16132,3793,9732,17520,11215,1849,143,10341,1,28:37,
2570,2570,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22000972,2021-05-02T00:00:00,OKC vs. PHX,L,34.583333333333336,4,19,0.211,2,9,0.222,0,0,0.0,0,1,1,4,2,0,0,3,1,2,10,1,15.2,0,0,17.0,1,11623,11623,11623,3176,8251,1220,18776,3957,930,11295,12008,12752,12008,11150,15987,17542,3751,3645,10665,7210,22522,4919,6289,9732,9911,14110,1849,143,12215,1,34:35,
3133,3133,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22000947,2021-04-29T00:00:00,OKC vs. NOP,L,33.00666666666667,5,12,0.417,4,8,0.5,3,4,0.75,0,3,3,1,3,0,0,1,4,4,17,-6,19.1,0,0,25.0,1,11623,11623,11623,4338,6152,5097,12627,910,1505,3573,3646,3346,7245,11150,8835,11352,11678,1707,10665,7210,15321,19926,2281,4514,16140,11636,1849,143,7461,1,33:00,
3499,3499,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22000927,2021-04-27T00:00:00,OKC @ BOS,W,34.86666666666667,5,14,0.357,3,8,0.375,11,13,0.846,1,3,4,2,3,0,1,0,5,9,24,3,31.8,0,0,35.0,1,1,1,1,2995,6152,3568,14900,1926,1505,7570,105,117,6463,5246,8835,8731,7995,1707,10665,2271,1,21997,96,1773,8138,5128,1849,143,3483,1,34:52,
4208,4208,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22000902,2021-04-23T00:00:00,OKC vs. WAS,L,34.63333333333333,5,15,0.333,1,7,0.143,7,7,1.0,2,6,8,1,1,0,1,1,2,6,18,-18,31.1,0,0,30.0,1,11623,11623,11623,3141,6152,2946,15094,7373,2331,12315,650,1176,1,2547,2732,2498,11678,7632,10665,2271,15321,10833,795,3974,21655,5382,1849,143,5266,1,34:38,
4966,4966,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22000865,2021-04-18T00:00:00,OKC @ TOR,L,31.108333333333334,9,15,0.6,5,8,0.625,6,8,0.75,0,4,4,2,1,1,0,0,3,5,29,-17,38.8,0,0,42.0,1,11623,11623,11623,5742,1450,2946,4810,414,1505,2645,990,763,7245,11150,6156,8731,7995,7632,4032,7210,1,16132,1350,787,21411,2897,1849,143,1788,1,31:07,
5355,5355,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22000845,2021-04-16T00:00:00,OKC @ DET,L,32.166666666666664,9,20,0.45,3,8,0.375,5,8,0.625,1,5,6,2,3,3,1,0,4,11,26,-12,45.2,0,0,45.0,1,11623,11623,11623,4963,1450,933,11351,1926,1505,7570,1513,763,9117,5246,4091,4746,7995,1707,347,2271,1,19926,23,1304,19709,1571,1849,143,1314,1,32:10,
5796,5796,2020-21,1629652,Luguentz Dort,Luguentz,1610612760,OKC,Oklahoma City Thunder,22000826,2021-04-13T00:00:00,OKC @ UTA,L,36.56333333333333,16,31,0.516,7,11,0.636,3,7,0.429,2,5,7,3,2,4,0,1,3,8,42,-1,64.9,0,0,67.0,1,11623,11623,11623,1863,39,16,7581,63,324,2624,3646,1176,11623,2547,4091,3435,5509,3645,82,7210,15321,16132,217,63,11703,127,1849,143,61,1,36:34,
