,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,262,262,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001226,2011-04-13T00:00:00,DEN @ UTA,L,40.80166666666667,10,20,0.5,1,3,0.333,6,7,0.857,0,6,6,3,1,0,1,1,2,5,27,-1,40.7,0,0,39.0,1,12551,12551,12551,1264,708,656,7819,4260,5173,5649,1409,1718,6877,13200,2657,5066,5151,9152,11571,2612,16556,10314,1775,799,12741,2167,2133,38,1834,,40:48,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,F,,40.000000:48,103.4,104.8,109.0,108.5,-5.6,-3.8,0.13,3.0,11.5,0.0,0.158,0.079,3.8,0.525,0.585,0.247,0.25,98.11,97.64,81.37,84,0.142,0.0
1,987,987,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001185,2011-04-08T00:00:00,DEN @ OKC,L,25.383333333333333,1,10,0.1,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,1,3,0,2,-7,3.5,0,0,3.0,1,12551,12551,12551,11707,17785,7515,21509,8666,5173,8666,14187,15157,14187,13200,21028,22216,11552,16494,11571,7858,16556,16166,18434,19760,18917,22369,2133,38,22446,,25:23,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,G,,25.000000:23,87.9,93.6,106.2,104.1,-18.2,-10.5,0.071,0.0,9.1,0.0,0.0,0.0,0.0,0.1,0.1,0.179,0.178,92.73,90.77,75.64,47,-0.138,3.0
2,1209,1209,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001172,2011-04-06T00:00:00,DEN @ DAL,W,29.283333333333335,6,12,0.5,2,6,0.333,2,3,0.667,0,3,3,2,2,1,1,0,3,2,16,11,26.6,0,0,27.0,1,1,1,1,8904,4364,5171,7819,1830,1129,5649,6796,6990,9548,13200,8486,11636,7589,4475,4411,2612,1,16166,7975,4827,3146,7461,2133,38,6257,,29:17,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,G,,29.000000:17,109.1,112.5,97.4,92.9,11.8,19.6,0.105,1.0,11.8,0.0,0.1,0.049,11.8,0.583,0.601,0.238,0.235,91.07,91.79,76.49,56,0.098,3.0
3,1637,1637,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001159,2011-04-05T00:00:00,DEN vs. OKC,L,29.83,2,9,0.222,0,2,0.0,1,1,1.0,0,7,7,1,2,0,2,0,2,1,5,-6,18.9,0,0,17.0,1,12551,12551,12551,8525,14343,8868,20033,8666,7554,8666,10775,13681,1,13200,1749,3773,11552,4475,11571,928,1,10314,12408,16077,18011,11976,2133,38,12290,,29:50,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,G,,29.000000:50,88.7,85.3,100.3,98.5,-11.6,-13.2,0.05,0.5,8.3,0.0,0.219,0.106,16.7,0.222,0.265,0.155,0.161,103.92,107.01,89.17,68,0.035,15.0
4,1664,1664,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001139,2011-04-03T00:00:00,DEN @ LAL,W,28.883333333333333,3,9,0.333,0,2,0.0,1,2,0.5,2,1,3,3,1,1,1,0,3,1,7,2,20.1,0,0,17.0,1,1,1,1,9193,11210,8868,16141,8666,7554,8666,10775,8399,10901,3434,16337,11636,5151,9152,4411,2612,1,16166,12408,13435,9453,11212,2133,38,12290,,28:53,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,G,,28.000000:53,80.3,81.7,77.7,75.8,2.6,5.9,0.176,3.0,21.4,0.065,0.027,0.044,7.1,0.333,0.354,0.162,0.162,101.01,101.37,84.48,60,0.041,3.0
5,2241,2241,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001131,2011-04-01T00:00:00,DEN @ SAC,W,18.016666666666666,1,1,1.0,0,0,0.0,2,2,1.0,0,5,5,1,1,0,2,0,2,1,4,1,16.5,0,0,14.0,1,1,1,1,16881,17785,22313,1,8666,13752,8666,6796,8399,1,13200,3971,6752,11552,9152,11571,928,1,10314,12408,17086,10499,13541,2133,38,14416,,18:01,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,,,18.000000:01,100.4,105.4,94.2,100.0,6.3,5.4,0.077,1.0,25.0,0.0,0.179,0.128,25.0,1.0,1.064,0.073,0.073,105.5,99.91,83.26,37,0.158,7.0
6,2380,2380,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001115,2011-03-30T00:00:00,DEN vs. SAC,W,27.35,2,9,0.222,1,3,0.333,2,2,1.0,1,3,4,2,1,1,2,2,0,1,7,1,22.8,0,0,20.0,1,1,1,1,10289,14343,8868,20033,4260,5173,5649,6796,8399,1,6688,8486,8902,7589,9152,4411,928,22656,1,12408,13435,10499,9644,2133,38,10304,,27:21,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,G,,27.000000:21,88.6,92.9,94.7,92.7,-6.1,0.1,0.125,2.0,15.4,0.033,0.12,0.073,7.7,0.278,0.354,0.164,0.165,98.74,97.4,81.17,56,0.084,15.0
7,3546,3546,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001064,2011-03-23T00:00:00,DEN vs. SAS,W,35.15833333333333,4,10,0.4,0,4,0.0,0,0,0.0,0,4,4,2,0,0,6,0,1,0,8,-5,33.8,0,0,26.0,1,1,1,1,4704,8488,7515,13736,8666,3278,8666,14187,15157,14187,13200,5857,8902,7589,16494,11571,20,1,4451,18434,12071,17083,4286,2133,38,6779,,35:10,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,G,,35.000000:10,111.2,107.4,110.0,113.0,1.2,-5.7,0.1,0.0,16.7,0.0,0.098,0.053,0.0,0.4,0.4,0.137,0.144,93.22,93.52,77.93,68,0.082,15.0
8,3766,3766,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001050,2011-03-21T00:00:00,DEN vs. TOR,W,27.4,5,11,0.455,1,6,0.167,1,1,1.0,1,7,8,2,1,1,0,0,1,1,12,21,26.6,0,0,25.0,1,1,1,1,10251,6173,6221,11737,4260,1129,8404,10775,13681,1,6688,1749,2794,7589,9152,4411,7858,1,4451,12408,8001,596,7461,2133,38,7332,,27:24,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,G,,27.000000:24,129.0,132.8,94.0,100.0,35.0,32.8,0.08,2.0,14.3,0.043,0.269,0.163,7.1,0.5,0.524,0.176,0.169,110.93,105.99,88.32,61,0.114,15.0
9,4082,4082,2010-11,201163,Wilson Chandler,Wilson,1610612743,DEN,Denver Nuggets,21001030,2011-03-19T00:00:00,DEN @ MIA,L,32.906666666666666,5,15,0.333,2,4,0.5,0,0,0.0,0,3,3,1,1,1,1,2,4,1,12,-18,22.1,0,0,22.0,1,12551,12551,12551,6297,6173,2643,16141,1830,3278,2796,14187,15157,14187,13200,8486,11636,11552,9152,4411,2612,22656,20677,12408,8001,24164,10051,2133,38,9081,,32:54,,1610612743,DEN,Denver,201163,Wilson Chandler,Wilson,F,,32.000000:54,88.8,90.5,117.8,117.2,-28.9,-26.7,0.067,1.0,5.9,0.0,0.115,0.049,5.9,0.4,0.4,0.229,0.238,93.24,92.63,77.19,63,0.023,0.0
