,id,full_name,first_name,last_name,is_active
44,203128,Furkan Aldemir,Furkan,Aldemir,False
45,202332,Cole Aldrich,Cole,Aldrich,False
46,200746,LaMarcus Aldridge,LaMarcus,Aldridge,False
47,76021,Chuck Aleksinas,Chuck,Aleksinas,False
48,1626146,Cliff Alexander,Cliff,Alexander,False
49,724,Cory Alexander,Cory,Alexander,False
50,2042,Courtney Alexander,Courtney,Alexander,False
51,76022,Gary Alexander,Gary,Alexander,False
52,201570,Joe Alexander,Joe,Alexander,False
53,1629734,Kyle Alexander,Kyle,Alexander,False
54,1641725,Trey Alexander,Trey,Alexander,False
55,1630234,Ty-Shon Alexander,Ty-Shon,Alexander,False
56,2349,Victor Alexander,Victor,Alexander,False
57,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
58,76024,Steve Alford,Steve,Alford,False
59,1628959,Rawle Alkins,Rawle,Alkins,False
60,76028,Bob Allen,Bob,Allen,False
61,1628960,Grayson Allen,Grayson,Allen,True
62,1628386,Jarrett Allen,Jarrett,Allen,True
63,706,Jerome Allen,Jerome,Allen,False
64,1628443,Kadeem Allen,Kadeem,Allen,False
65,202730,Lavoy Allen,Lavoy,Allen,False
66,76027,Lucius Allen,Lucius,Allen,False
67,2124,Malik Allen,Malik,Allen,False
68,76025,Randy Allen,Randy,Allen,False
69,951,Ray Allen,Ray,Allen,False
70,1641851,Timmy Allen,Timmy,Allen,True
71,2754,Tony Allen,Tony,Allen,False
72,76029,Odis Allison,Odis,Allison,False
73,200984,Lance Allred,Lance,Allred,False
74,76030,Darrell Allums,Darrell,Allums,False
75,201165,Morris Almond,Morris,Almond,False
76,308,Derrick Alston,Derrick,Alston,False
77,1747,Rafer Alston,Rafer,Alston,False
78,1824,Peter Aluma,Peter,Aluma,False
79,1630631,Jose Alvarado,Jose,Alvarado,True
80,680,John Amaechi,John,Amaechi,False
81,732,Ashraf Amaya,Ashraf,Amaya,False
82,202329,Al-Farouq Aminu,Al-Farouq,Aminu,False
83,200811,Lou Amundson,Lou,Amundson,False
84,76034,Bob Anderegg,Bob,Anderegg,False
85,2365,Chris Andersen,Chris,Andersen,False
86,2431,David Andersen,David,Andersen,False
87,101187,Alan Anderson,Alan,Anderson,False
88,202079,Antonio Anderson,Antonio,Anderson,False
89,76035,Cliff Anderson,Cliff,Anderson,False
90,76036,Daniel Anderson,Daniel,Anderson,False
91,1507,Derek Anderson,Derek,Anderson,False
92,76037,Dwight Anderson,Dwight,Anderson,False
93,944,Eric Anderson,Eric,Anderson,False
94,246,Greg Anderson,Greg,Anderson,False
95,202341,James Anderson,James,Anderson,False
96,76040,Jerome Anderson,Jerome,Anderson,False
97,1626147,Justin Anderson,Justin,Anderson,False
98,72,Kenny Anderson,Kenny,Anderson,False
99,76041,Kim Anderson,Kim,Anderson,False
100,203937,Kyle Anderson,Kyle,Anderson,True
101,76042,Michael Anderson,Michael,Anderson,False
102,76043,Mitchell Anderson,Mitchell,Anderson,False
103,98,Nick Anderson,Nick,Anderson,False
104,76045,Richard Anderson,Richard,Anderson,False
105,76046,Ron Anderson,Ron,Anderson,False
106,201583,Ryan Anderson,Ryan,Anderson,False
107,1000,Shandon Anderson,Shandon,Anderson,False
108,335,Willie Anderson,Willie,Anderson,False
109,76048,Wally Anderzunas,Wally,Anderzunas,False
110,101149,Martynas Andriuskevicius,Martynas,Andriuskevicius,False
111,76049,Don Anielak,Don,Anielak,False
112,1628387,Ike Anigbogu,Ike,Anigbogu,False
113,76050,Michael Ansley,Michael,Ansley,False
114,1512,Chris Anstey,Chris,Anstey,False
115,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
116,1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,False
117,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
118,2546,Carmelo Anthony,Carmelo,Anthony,False
119,1630175,Cole Anthony,Cole,Anthony,True
120,21,Greg Anthony,Greg,Anthony,False
121,201202,Joel Anthony,Joel,Anthony,False
122,203544,Pero Antic,Pero,Antic,False
