,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0021000731,1610612749,MIL,Milwaukee,1894,Corey Maggette,Corey,F,,29.000000:58,101.0,101.7,109.6,108.3,-8.7,-6.7,0.111,0.0,10.5,0.0,0.0,0.0,0.0,0.571,0.615,0.23,0.232,95.85,96.11,80.09,60,0.122
1,0021000731,1610612749,MIL,Milwaukee,201601,Luc Mbah a Moute,Luc,F,,40.000000:46,104.8,106.5,108.5,106.4,-3.7,0.1,0.179,1.67,23.8,0.244,0.242,0.244,14.3,0.5,0.563,0.163,0.164,91.13,91.24,76.04,77,0.146
2,0021000731,1610612749,MIL,Milwaukee,101141,Ersan Ilyasova,Ersan,C,,34.000000:01,98.0,97.1,106.3,105.9,-8.4,-8.8,0.111,0.67,7.7,0.122,0.296,0.191,11.5,0.525,0.551,0.286,0.291,96.04,96.66,80.55,69,0.157
3,0021000731,1610612749,MIL,Milwaukee,2568,Carlos Delfino,Carlos,G,,44.000000:56,103.0,102.3,107.0,105.7,-4.1,-3.5,0.172,2.5,17.2,0.042,0.176,0.098,6.9,0.455,0.455,0.224,0.23,92.6,93.47,77.89,88,0.119
4,0021000731,1610612749,MIL,Milwaukee,201943,Brandon Jennings,Brandon,G,,19.000000:33,99.8,100.0,93.6,92.5,6.2,7.5,0.4,3.0,42.9,0.0,0.118,0.05,14.3,0.167,0.167,0.167,0.166,96.49,96.98,80.82,39,0.027
5,0021000731,1610612749,MIL,Milwaukee,2422,John Salmons,John,,,21.000000:06,95.5,92.5,112.6,107.5,-17.1,-15.0,0.077,1.0,14.3,0.0,0.095,0.043,14.3,0.2,0.2,0.118,0.123,87.54,91.0,75.83,40,0.0
6,0021000731,1610612749,MIL,Milwaukee,202336,Larry Sanders,Larry,,,14.000000:04,85.6,82.1,118.3,119.2,-32.8,-37.1,0.0,0.0,0.0,0.077,0.0,0.042,50.0,0.5,0.5,0.125,0.134,90.58,92.15,76.8,28,-0.051
7,0021000731,1610612749,MIL,Milwaukee,2039,Keyon Dooling,Keyon,,,28.000000:27,101.5,101.9,120.7,116.7,-19.2,-14.8,0.45,9.0,47.4,0.032,0.045,0.038,5.3,0.5,0.5,0.149,0.153,89.76,91.11,75.92,54,0.114
8,0021000731,1610612749,MIL,Milwaukee,202066,Garrett Temple,Garrett,,,7.000000:09,123.1,114.3,107.7,107.7,15.4,6.6,0.143,0.0,50.0,0.0,0.286,0.125,0.0,0.0,0.0,0.056,0.059,87.27,90.63,75.52,14,0.063
9,0021000731,1610612749,MIL,Milwaukee,1863,Earl Boykins,Earl,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
10,0021000731,1610612749,MIL,Milwaukee,201972,Jon Brockman,Jon,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
11,0021000731,1610612749,MIL,Milwaukee,201604,Chris Douglas-Roberts,Chris,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
12,0021000731,1610612744,GSW,Golden State,2748,Dorell Wright,Dorell,F,,40.000000:51,109.2,108.9,97.2,97.5,12.1,11.4,0.214,2.0,28.6,0.0,0.089,0.052,14.3,0.636,0.673,0.172,0.175,93.41,93.41,77.85,79,0.114
