,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
253,253,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201227,2023-04-09T00:00:00,SAC @ DEN,L,17.566666666666666,6,10,0.6,1,3,0.333,0,0,0.0,1,1,2,3,1,0,0,1,0,0,13,17,18.9,0,0,19.0,1,12947,12947,12947,17713,5438,8199,5804,8083,10172,8680,13851,14660,13851,6448,17626,16055,6516,8897,11790,7930,17468,1,17928,8465,1637,13323,2163,120,12497,1,17:34,
843,843,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201195,2023-04-05T00:00:00,SAC @ DAL,L,32.48166666666667,10,26,0.385,1,6,0.167,7,7,1.0,2,3,5,8,1,1,1,1,2,6,28,4,51.0,0,0,46.0,1,12947,12947,12947,5944,1204,171,16407,8083,3807,13473,993,1700,1,3077,9404,7186,963,8897,4306,2381,17468,11553,993,1320,8218,1028,2163,120,1442,1,32:29,
928,928,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201185,2023-04-04T00:00:00,SAC @ NOP,W,29.65,10,23,0.435,2,6,0.333,1,2,0.5,2,3,5,9,3,1,0,1,0,2,23,18,42.5,0,0,41.0,1,1,1,1,8405,1204,508,14083,4226,3807,8680,10510,8080,10976,3077,9404,7186,634,2046,4306,7930,17468,1,7612,2654,1403,2543,2163,120,2464,1,29:39,
1162,1162,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201170,2023-04-02T00:00:00,SAC vs. SAS,L,37.81666666666667,10,23,0.435,0,8,0.0,8,8,1.0,0,4,4,4,1,0,0,1,2,6,28,-3,37.8,0,0,36.0,1,12947,12947,12947,1630,1204,508,14083,14184,1659,14184,663,1170,1,13272,6530,9590,4531,8897,11790,7930,17468,11553,993,1320,15240,3825,2163,120,3886,1,37:49,
1695,1695,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201159,2023-03-31T00:00:00,SAC @ POR,W,27.133333333333333,8,11,0.727,1,3,0.333,3,4,0.75,1,7,8,11,2,2,0,1,3,4,20,10,50.1,1,0,44.0,1,1,1,1,10475,2711,7093,2897,8083,10172,8680,4622,4303,8358,6448,1900,2807,243,4399,1343,7930,17468,17563,2943,3852,4240,1137,1,120,1786,1,27:08,
1853,1853,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201145,2023-03-29T00:00:00,SAC @ POR,W,27.413333333333338,7,14,0.5,2,7,0.286,2,2,1.0,0,3,3,6,2,2,0,1,1,1,18,28,34.6,0,0,33.0,1,1,1,1,10261,3877,4330,9075,4226,2551,10982,6620,8080,1,13272,9404,12567,2101,4399,1343,7930,17468,5181,11862,4863,209,4944,2163,120,4946,1,27:25,
2265,2265,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201128,2023-03-27T00:00:00,SAC vs. MIN,L,35.16,10,20,0.5,1,6,0.167,8,10,0.8,0,4,4,6,1,0,1,1,1,9,29,-1,44.8,0,0,42.0,1,12947,12947,12947,3616,1204,1220,9075,8083,3807,13473,663,576,7793,13272,6530,9590,2101,8897,11790,2381,17468,5181,194,1129,13132,2047,2163,120,2224,1,35:10,
2803,2803,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201105,2023-03-24T00:00:00,SAC vs. PHX,W,20.75,7,15,0.467,1,6,0.167,4,4,1.0,1,0,1,2,2,0,1,2,3,3,19,3,24.2,0,0,25.0,1,1,1,1,15389,3877,3608,12776,8083,3807,13473,3075,4303,1,6448,22091,19709,9342,4399,11790,2381,23619,17563,4788,4335,9061,10053,2163,120,8774,1,20:45,
3177,3177,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201081,2023-03-21T00:00:00,SAC vs. BOS,L,28.566666666666663,6,11,0.545,2,5,0.4,4,5,0.8,0,1,1,3,1,0,0,0,2,4,18,-34,22.7,0,0,24.0,1,12947,12947,12947,9271,5438,7093,8195,4226,5510,7498,3075,3311,7793,13272,17626,19709,6516,8897,11790,7930,1,11553,2943,4863,25862,10923,2163,120,9373,1,28:34,
3294,3294,2022-23,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,Sacramento Kings,22201076,2023-03-20T00:00:00,SAC @ UTA,L,35.61666666666667,14,21,0.667,6,9,0.667,3,4,0.75,0,4,4,7,1,1,0,0,4,4,37,-3,54.3,0,0,56.0,1,12947,12947,12947,3231,175,929,3571,178,1087,1971,4622,4303,8358,13272,6530,9590,1460,8897,4306,7930,1,21892,2943,288,15240,716,2163,120,442,1,35:37,
