GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
21500986,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,39.000000:07,112.0,111.3,111.2,110.1,0.8,1.1,0.125,3.0,12.0,0.026,0.079,0.053,4.0,0.579,0.637,0.242,0.249,96.77,97.55,81.3,80,0.118,0.0
21501087,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,39.000000:10,103.7,105.4,93.8,93.3,9.9,12.1,0.192,2.5,22.7,0.0,0.122,0.065,9.1,0.533,0.567,0.207,0.209,91.79,91.3,76.09,74,0.11,0.0
21500616,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,48.000000:26,113.7,113.0,115.7,118.5,-2.0,-5.4,0.333,2.25,22.5,0.02,0.1,0.056,10.0,0.625,0.676,0.298,0.302,92.01,91.18,75.98,92,0.182,0.0
21501119,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,46.000000:05,94.7,93.3,94.6,96.7,0.1,-3.3,0.038,0.25,3.4,0.057,0.021,0.04,13.8,0.425,0.446,0.269,0.273,94.05,93.74,78.12,90,0.021,12.0
21500007,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,35.000000:27,95.1,97.1,94.0,95.7,1.1,1.4,0.045,0.25,5.6,0.034,0.091,0.065,22.2,0.455,0.477,0.23,0.228,95.27,93.43,77.86,69,0.032,0.0
21500417,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,36.000000:00,121.2,120.8,87.3,87.5,33.9,33.3,0.19,4.0,17.4,0.0,0.088,0.043,4.3,0.563,0.644,0.224,0.23,95.95,96.0,80.0,72,0.213,13.0
21500832,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,37.000000:44,115.4,112.8,123.2,125.0,-7.8,-12.2,0.107,1.5,13.6,0.0,0.116,0.064,9.1,0.462,0.603,0.218,0.223,97.52,97.95,81.63,78,0.135,0.0
21500173,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,35.000000:19,107.7,109.0,95.6,97.0,12.1,12.0,0.048,1.0,5.6,0.037,0.167,0.111,5.6,0.467,0.521,0.233,0.237,91.58,90.38,75.32,67,0.098,13.0
21500364,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,22.000000:05,61.8,63.4,167.5,170.0,-105.7,-106.6,0.222,0.0,25.0,0.0,0.0,0.0,0.0,0.2,0.34,0.136,0.139,89.86,88.03,73.36,41,-0.011,0.0
21500947,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,38.000000:04,82.7,85.7,95.0,96.1,-12.3,-10.3,0.176,0.75,10.3,0.022,0.132,0.072,13.8,0.389,0.501,0.286,0.29,98.76,96.46,80.39,77,0.136,12.0
21500994,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,,"DND - Plantar faciitis, right foot",,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,23.0
21500758,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,38.000000:16,92.7,92.1,84.4,86.5,8.3,5.6,0.105,0.33,8.7,0.0,0.132,0.063,26.1,0.536,0.587,0.241,0.249,94.88,94.08,78.4,76,0.077,13.0
21500798,1610612762,UTA,Utah,202330,Gordon Hayward,Gordon,F,,39.000000:38,105.1,103.9,103.3,101.3,1.8,2.6,0.182,1.33,14.3,0.0,0.105,0.056,10.7,0.444,0.498,0.286,0.292,91.8,93.25,77.71,77,0.1,0.0
