,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
11,11,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201227,2013-04-17T00:00:00,DEN vs. PHX,W,31.216666666666665,8,14,0.571,0,2,0.0,4,6,0.667,1,4,5,5,3,2,2,1,0,4,20,14,42.5,0,0,38.0,1,1,1,1,6950,1740,3183,5809,9384,8162,9384,2537,1783,9075,6926,5971,6916,2639,2063,1623,1045,16703,1,2730,2321,2276,1683,2116,43,1983,1,31:13,
536,536,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201207,2013-04-15T00:00:00,DEN @ MIL,W,35.45,5,9,0.556,2,4,0.5,1,2,0.5,2,6,8,7,1,1,2,0,1,1,13,6,41.1,0,0,36.0,1,1,1,1,3959,6037,8933,6443,2112,3817,2912,10224,7809,10320,3638,2686,2895,1230,9398,4671,1045,1,5116,12140,6910,6323,2010,2116,43,2540,1,35:27,
718,718,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201198,2013-04-14T00:00:00,DEN vs. POR,W,37.166666666666664,11,17,0.647,2,5,0.4,4,5,0.8,1,6,7,9,2,3,3,0,1,6,28,23,65.9,0,0,58.0,1,1,1,1,2804,332,1424,3918,2112,2414,5470,2537,2957,7230,6926,2686,3868,534,4582,482,405,1,5116,806,523,482,41,2116,43,87,1,37:10,
892,892,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201185,2013-04-12T00:00:00,DEN @ DAL,L,43.36666666666667,7,15,0.467,3,6,0.5,1,3,0.333,1,4,5,6,5,1,0,1,5,2,18,-3,31.0,0,0,34.0,1,12899,12899,12899,375,2744,2517,11125,880,1449,2912,10224,6487,13120,6926,5971,6916,1820,313,4671,8116,16703,24356,7687,3330,15224,5330,2116,43,3150,1,43:22,
1273,1273,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201172,2013-04-10T00:00:00,DEN vs. SAS,W,43.46666666666667,5,11,0.455,1,1,1.0,1,4,0.25,2,11,13,10,7,3,0,0,2,3,12,5,44.6,1,1,42.0,1,1,1,1,362,6037,6223,11509,4677,11074,1,10224,3853,13412,3638,254,522,341,29,482,8116,1,11426,4675,7730,7088,1318,1,1,1197,1,43:28,
1740,1740,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201144,2013-04-06T00:00:00,DEN vs. HOU,W,36.65,7,13,0.538,2,6,0.333,2,3,0.667,0,7,7,14,2,2,0,0,2,3,18,14,51.4,1,0,45.0,1,1,1,1,3097,2744,4047,7116,2112,1449,6112,6184,6487,9075,13334,1756,3868,37,4582,1623,8116,1,11426,4675,3330,2276,521,1,43,769,1,36:39,
2147,2147,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201124,2013-04-04T00:00:00,DEN vs. DAL,W,40.516666666666666,3,13,0.231,1,3,0.333,1,2,0.5,3,6,9,8,3,1,0,1,0,2,8,1,30.8,0,0,28.0,1,1,1,1,1116,11236,4047,20268,4677,5688,6112,10224,7809,10320,1841,2686,2164,814,2063,4671,8116,16703,1,7687,12119,10723,5409,2116,43,5723,1,40:31,
2186,2186,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201118,2013-04-03T00:00:00,DEN @ UTA,W,31.533333333333335,4,10,0.4,1,4,0.25,1,4,0.25,0,0,0,6,3,2,1,0,2,2,10,9,25.0,0,0,23.0,1,1,1,1,6744,8441,7539,13640,4677,3817,7787,10224,3853,13412,13334,21450,22586,1820,2063,1623,2824,1,11426,7687,9826,4410,8377,2116,43,8461,1,31:32,
3095,3095,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201083,2013-03-29T00:00:00,DEN vs. BKN,W,32.05,4,5,0.8,1,1,1.0,0,2,0.0,2,1,3,8,3,2,1,0,2,3,9,5,30.6,0,0,27.0,1,1,1,1,6373,8441,15704,1358,4677,11074,1,13640,7809,13640,3638,16597,11835,814,2063,1623,2824,1,11426,4675,11054,7088,5502,2116,43,6223,1,32:03,
3427,3427,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201067,2013-03-27T00:00:00,DEN @ SAS,L,36.55,4,9,0.444,0,2,0.0,2,3,0.667,1,1,2,7,2,1,0,0,0,3,10,-2,23.9,0,0,21.0,1,12899,12899,12899,3173,8441,8933,11897,9384,8162,9384,6184,6487,9075,6926,16597,15130,1230,4582,4671,8116,1,1,4675,9826,14059,9012,2116,43,9776,1,36:33,
3712,3712,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201051,2013-03-25T00:00:00,DEN @ NOH,L,35.0,2,5,0.4,0,2,0.0,2,4,0.5,0,1,1,4,1,1,0,0,2,2,6,-17,15.2,0,0,13.0,1,12899,12899,12899,4271,14598,15704,13640,9384,8162,9384,6184,3853,10320,13334,16597,18821,3751,9398,4671,8116,1,11426,7687,14670,24432,14782,2116,43,15549,1,35:00,
3897,3897,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201037,2013-03-23T00:00:00,DEN vs. SAC,W,37.03333333333333,5,16,0.313,2,5,0.4,3,4,0.75,2,3,5,8,3,2,0,1,1,2,15,7,36.0,0,0,34.0,1,1,1,1,2880,6037,1925,18126,2112,2414,5470,4198,3853,7716,3638,8602,6916,814,2063,1623,8116,16703,5116,7687,5232,5627,3411,2116,43,3150,1,37:02,
4269,4269,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201020,2013-03-21T00:00:00,DEN vs. PHI,W,40.43333333333333,5,9,0.556,0,1,0.0,3,4,0.75,2,2,4,4,4,2,1,0,2,4,13,8,28.8,0,0,27.0,1,1,1,1,1153,6037,8933,6443,9384,11074,9384,4198,3853,7716,3638,12197,9089,3751,834,1623,2824,1,11426,2730,6910,4983,6378,2116,43,6223,1,40:26,
4595,4595,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21201006,2013-03-19T00:00:00,DEN @ OKC,W,35.76,5,14,0.357,0,4,0.0,0,0,0.0,0,2,2,4,1,1,0,0,3,2,10,17,20.4,0,0,18.0,1,1,1,1,3749,6037,3183,15913,9384,3817,9384,13640,14598,13640,13334,12197,15130,3751,9398,4671,8116,1,17562,7687,9826,1403,11176,2116,43,11807,1,35:46,
4667,4667,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200999,2013-03-18T00:00:00,DEN @ CHI,W,38.1,3,14,0.214,2,6,0.333,4,4,1.0,1,9,10,1,2,2,3,1,2,3,12,-6,38.5,1,0,35.0,1,1,1,1,2239,11236,3183,20491,2112,1449,6112,2537,3853,1,6926,713,1554,11776,4582,1623,405,16703,11426,4675,7730,18278,2658,1,43,2848,1,38:06,
5341,5341,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200977,2013-03-15T00:00:00,DEN vs. MEM,W,34.233333333333334,4,9,0.444,0,1,0.0,0,0,0.0,0,7,7,7,0,1,0,0,0,1,8,7,29.9,0,0,24.0,1,1,1,1,4846,8441,8933,11897,9384,11074,9384,13640,14598,13640,13334,1756,3868,1230,16968,4671,8116,1,1,12140,12119,5627,5831,2116,43,7844,1,34:14,
5410,5410,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200964,2013-03-13T00:00:00,DEN vs. NYK,W,32.983333333333334,5,7,0.714,2,3,0.667,2,6,0.333,0,6,6,6,4,2,1,1,0,5,14,32,35.2,0,0,34.0,1,1,1,1,5709,6037,12079,2243,2112,5688,1690,6184,1783,13120,13334,2686,5224,1820,834,1623,2824,16703,1,1539,6004,54,3710,2116,43,3150,0,32:59,
5794,5794,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200946,2013-03-11T00:00:00,DEN @ PHX,W,29.6,2,6,0.333,0,2,0.0,2,3,0.667,0,3,3,7,1,3,0,0,1,2,6,11,28.1,0,0,22.0,1,1,1,1,8138,14598,13876,16157,9384,8162,9384,6184,6487,9075,13334,8602,11835,1230,9398,482,8116,1,5116,7687,14670,3405,6713,2116,43,9110,1,29:36,
6231,6231,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200931,2013-03-09T00:00:00,DEN vs. MIN,W,32.13333333333333,4,10,0.4,1,1,1.0,2,3,0.667,2,3,5,3,1,4,3,1,2,2,11,10,41.5,0,0,34.0,1,1,1,1,6316,8441,7539,13640,4677,11074,1,6184,6487,9075,3638,8602,6916,5433,9398,147,405,16703,11426,7687,8816,3906,1904,2116,43,3150,1,32:08,
6511,6511,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200914,2013-03-07T00:00:00,DEN vs. LAC,W,38.56666666666667,5,10,0.5,2,6,0.333,2,2,1.0,0,3,3,7,1,2,1,0,2,2,14,15,36.1,0,0,32.0,1,1,1,1,1972,6037,7539,7600,2112,1449,6112,6184,7809,1,13334,8602,11835,1230,9398,1623,2824,1,11426,7687,6004,1968,3386,2116,43,3915,0,38:34,
6815,6815,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200898,2013-03-05T00:00:00,DEN @ SAC,W,32.63333333333333,2,6,0.333,1,3,0.333,1,4,0.25,2,3,5,7,3,5,0,0,2,3,6,10,34.5,0,0,29.0,1,1,1,1,5973,14598,13876,16157,4677,5688,6112,10224,3853,13412,3638,8602,6916,1230,2063,38,8116,1,11426,4675,14670,3906,3971,2116,43,5243,1,32:38,
7017,7017,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200893,2013-03-04T00:00:00,DEN vs. ATL,W,34.7,5,8,0.625,2,3,0.667,0,0,0.0,2,4,6,6,3,1,0,0,1,0,12,5,28.2,0,0,28.0,1,1,1,1,4499,6037,10464,4187,2112,5688,1690,13640,14598,13640,3638,5971,5224,1820,2063,4671,8116,1,5116,18329,7730,7088,6661,2116,43,5723,1,34:42,
7450,7450,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200875,2013-03-01T00:00:00,DEN vs. OKC,W,36.7,2,9,0.222,0,4,0.0,0,0,0.0,3,3,6,5,3,3,0,2,1,1,4,-5,24.7,0,0,21.0,1,1,1,1,3064,14598,8933,20325,9384,3817,9384,13640,14598,13640,1841,8602,5224,2639,2063,482,8116,23125,5116,12140,17383,17373,8554,2116,43,9776,0,36:42,
7777,7777,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200860,2013-02-27T00:00:00,DEN @ POR,W,42.71666666666667,11,20,0.55,2,7,0.286,5,10,0.5,1,6,7,8,5,5,1,0,2,7,29,0,62.4,0,0,58.0,1,1,1,1,497,332,537,6799,2112,824,7606,1606,349,10320,6926,2686,3868,814,313,38,2824,1,11426,420,411,11738,81,2116,43,87,1,42:43,
8002,8002,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200841,2013-02-25T00:00:00,DEN vs. LAL,W,36.75,6,9,0.667,0,1,0.0,2,5,0.4,0,4,4,12,2,1,1,0,0,2,14,6,40.8,1,0,34.0,1,1,1,1,3032,4183,8933,2734,9384,11074,9384,6184,2957,13028,13334,5971,9089,115,4582,4671,2824,1,1,7687,6004,6323,2073,1,43,3150,1,36:45,
8344,8344,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200824,2013-02-23T00:00:00,DEN @ CHA,W,29.733333333333334,5,7,0.714,1,3,0.333,2,3,0.667,1,4,5,10,1,2,2,0,5,2,13,15,45.0,1,0,37.0,1,1,1,1,8043,6037,12079,2243,4677,5688,6112,6184,6487,9075,6926,5971,6916,341,9398,1623,1045,1,24356,7687,6910,1968,1269,1,43,2258,1,29:44,
8648,8648,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200812,2013-02-22T00:00:00,DEN @ WAS,L,33.81666666666667,3,5,0.6,2,4,0.5,0,2,0.0,1,4,5,5,4,2,0,0,4,3,8,-8,23.5,0,0,24.0,1,12899,12899,12899,5154,11236,15704,4720,2112,3817,2912,13640,7809,13640,6926,5971,6916,2639,834,1623,8116,1,21818,4675,12119,19993,9260,2116,43,7844,1,33:49,
8997,8997,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200794,2013-02-19T00:00:00,DEN vs. BOS,W,28.766666666666666,0,7,0.0,0,1,0.0,1,4,0.25,0,3,3,7,1,2,1,0,2,3,1,-2,23.1,0,0,17.0,1,1,1,1,8821,21824,12079,21824,9384,11074,9384,10224,3853,13412,13334,8602,11835,1230,9398,1623,2824,1,11426,4675,22271,14059,9488,2116,43,12573,1,28:46,
9720,9720,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200754,2013-02-10T00:00:00,DEN @ BOS,L,19.95,2,6,0.333,1,3,0.333,0,0,0.0,0,2,2,4,1,0,1,0,2,0,5,-8,15.4,0,0,14.0,1,12899,12899,12899,15739,14598,13876,16157,4677,5688,6112,13640,14598,13640,13334,12197,15130,3751,9398,12214,2824,1,11426,18329,16283,19993,14654,2116,43,14837,1,19:57,
9939,9939,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200747,2013-02-09T00:00:00,DEN @ CLE,W,34.61666666666667,6,9,0.667,2,3,0.667,0,0,0.0,0,4,4,7,4,1,1,0,2,0,14,8,31.3,0,0,31.0,1,1,1,1,4552,4183,8933,2734,2112,5688,1690,13640,14598,13640,13334,5971,9089,1230,834,4671,2824,1,11426,18329,6004,4983,5194,2116,43,4341,1,34:37,
10291,10291,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200734,2013-02-07T00:00:00,DEN vs. CHI,W,25.766666666666666,6,9,0.667,1,4,0.25,1,2,0.5,0,1,1,4,2,2,1,0,0,3,14,21,28.2,0,0,26.0,1,1,1,1,11207,4183,8933,2734,4677,3817,7787,10224,7809,10320,13334,16597,18821,3751,4582,1623,2824,1,1,4675,6004,693,6661,2116,43,6710,1,25:46,
10592,10592,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200719,2013-02-05T00:00:00,DEN vs. MIL,W,31.983333333333334,4,9,0.444,0,1,0.0,0,2,0.0,1,4,5,5,3,4,2,2,0,3,8,10,36.5,0,0,30.0,1,1,1,1,6418,8441,8933,11897,9384,11074,9384,13640,7809,13640,6926,5971,6916,2639,2063,147,1045,23125,1,4675,12119,3906,3251,2116,43,4791,1,31:59,
11138,11138,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200692,2013-02-01T00:00:00,DEN vs. NOH,W,37.583333333333336,10,14,0.714,2,5,0.4,2,3,0.667,2,4,6,4,2,3,1,0,2,2,24,9,47.2,0,0,44.0,1,1,1,1,2545,614,3183,2243,2112,2414,5470,6184,6487,9075,3638,5971,5224,3751,4582,482,2824,1,11426,7687,1105,4410,958,2116,43,886,1,37:35,
11625,11625,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200679,2013-01-30T00:00:00,DEN vs. HOU,W,36.71666666666667,5,13,0.385,1,7,0.143,4,6,0.667,0,5,5,6,6,2,0,0,1,4,15,-7,30.0,0,0,31.0,1,1,1,1,3053,6037,4047,14856,4677,824,9272,2537,1783,9075,13334,4034,6916,1820,106,1623,8116,1,5116,2730,5232,19174,5788,2116,43,4341,1,36:43,
11865,11865,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200664,2013-01-28T00:00:00,DEN vs. IND,W,37.833333333333336,4,11,0.364,0,0,0.0,5,10,0.5,4,6,10,7,1,1,0,0,1,7,13,-2,37.5,1,0,32.0,1,1,1,1,2392,8441,6223,15657,9384,14765,9384,1606,349,10320,913,2686,1554,1230,9398,4671,8116,1,5116,420,6910,14059,2942,1,43,3915,1,37:50,
12060,12060,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200649,2013-01-26T00:00:00,DEN vs. SAC,W,30.783333333333335,8,15,0.533,3,8,0.375,1,2,0.5,0,3,3,7,0,2,0,0,1,2,20,30,40.1,0,0,37.0,1,1,1,1,7265,1740,2517,7305,880,445,5989,10224,7809,10320,13334,8602,11835,1230,16968,1623,8116,1,5116,7687,2321,102,2237,2116,43,2258,1,30:47,
12682,12682,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200622,2013-01-23T00:00:00,DEN @ HOU,W,36.166666666666664,5,11,0.455,0,2,0.0,4,5,0.8,2,4,6,5,1,3,0,1,1,3,14,3,36.7,0,0,31.0,1,1,1,1,3449,6037,6223,11509,9384,8162,9384,2537,2957,7230,3638,5971,5224,2639,9398,482,8116,16703,5116,4675,6004,8803,3178,2116,43,4341,1,36:10,
13021,13021,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200604,2013-01-20T00:00:00,DEN vs. OKC,W,26.731666666666666,4,8,0.5,1,2,0.5,0,0,0.0,2,1,3,3,3,2,1,0,2,2,9,6,23.1,0,0,22.0,1,1,1,1,10413,8441,10464,7600,4677,8162,2912,13640,14598,13640,3638,16597,11835,5433,2063,1623,2824,1,11426,7687,11054,6323,9488,2116,43,9110,1,26:44,
13395,13395,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200591,2013-01-18T00:00:00,DEN vs. WAS,L,30.3,0,4,0.0,0,1,0.0,2,6,0.333,2,2,4,4,1,5,1,0,5,3,2,-1,29.8,0,0,22.0,1,12899,12899,12899,7637,21824,17526,21824,9384,11074,9384,6184,1783,13120,3638,12197,9089,3751,9398,38,2824,1,24356,4675,20041,12930,5873,2116,43,9110,1,30:18,
13538,13538,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200574,2013-01-16T00:00:00,DEN @ OKC,L,29.81,4,10,0.4,0,3,0.0,4,4,1.0,0,1,1,5,3,0,0,1,0,5,12,-17,17.7,0,0,18.0,1,12899,12899,12899,7996,8441,7539,13640,9384,5688,9384,2537,3853,1,13334,16597,18821,2639,2063,12214,8116,16703,1,1539,7730,24432,13027,2116,43,11807,1,29:49,
13855,13855,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200568,2013-01-15T00:00:00,DEN vs. POR,W,41.38333333333333,4,16,0.25,1,5,0.2,0,3,0.0,1,2,3,4,2,1,0,1,3,3,9,9,19.6,0,0,19.0,1,1,1,1,844,8441,1925,19308,4677,2414,8646,13640,6487,13640,6926,12197,11835,3751,4582,4671,8116,16703,17562,4675,11054,4410,11687,2116,43,11085,1,41:23,
14162,14162,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200553,2013-01-13T00:00:00,DEN vs. GSW,W,31.886666666666667,4,11,0.364,1,6,0.167,1,2,0.5,0,3,3,6,1,5,0,2,0,1,10,-3,36.6,0,0,30.0,1,1,1,1,6498,8441,6223,15657,4677,1449,9074,10224,7809,10320,13334,8602,11835,1820,9398,38,8116,23125,1,12140,9826,15224,3208,2116,43,4791,1,31:53,
14580,14580,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200538,2013-01-11T00:00:00,DEN vs. CLE,W,40.56666666666667,5,11,0.455,1,4,0.25,2,3,0.667,5,6,11,4,4,1,0,0,1,2,13,9,31.2,1,0,31.0,1,1,1,1,1100,6037,6223,11509,4677,3817,7787,6184,6487,9075,446,2686,1113,3751,834,4671,8116,1,5116,7687,6910,4410,5244,1,43,4341,1,40:34,
14867,14867,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200524,2013-01-09T00:00:00,DEN vs. ORL,W,31.716666666666665,4,13,0.308,1,3,0.333,2,4,0.5,2,2,4,5,2,1,0,1,0,2,11,5,24.3,0,0,23.0,1,1,1,1,6606,8441,4047,18180,4677,5688,6112,6184,3853,10320,3638,12197,9089,2639,4582,4671,8116,16703,1,7687,8816,7088,8797,2116,43,8461,1,31:43,
15187,15187,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200503,2013-01-06T00:00:00,DEN @ LAL,W,37.916666666666664,6,14,0.429,3,5,0.6,0,0,0.0,0,6,6,7,1,0,1,0,2,0,15,14,34.7,0,0,33.0,1,1,1,1,2338,4183,3183,12488,880,2414,2454,13640,14598,13640,13334,2686,5224,1230,9398,12214,2824,1,11426,18329,5232,2276,3890,2116,43,3524,1,37:55,
15339,15339,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200497,2013-01-05T00:00:00,DEN vs. UTA,W,31.2,5,9,0.556,0,1,0.0,8,11,0.727,0,6,6,2,3,0,0,0,1,8,18,20,25.2,0,0,26.0,1,1,1,1,6967,6037,8933,6443,9384,11074,9384,389,247,8906,13334,2686,5224,8007,2063,12214,8116,1,5116,207,3330,840,8262,2116,43,6710,1,31:12,
15752,15752,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200477,2013-01-03T00:00:00,DEN vs. MIN,L,35.833333333333336,6,16,0.375,1,5,0.2,1,7,0.143,0,7,7,6,1,2,0,0,1,5,14,6,36.4,0,0,32.0,1,12899,12899,12899,3677,4183,1925,15078,4677,2414,8646,10224,1353,13633,13334,1756,3868,1820,9398,1623,8116,1,5116,1539,6004,6323,3284,2116,43,3915,1,35:50,
16118,16118,2012-13,2738,Andre Iguodala,Andre,1610612743,DEN,Denver Nuggets,21200462,2013-01-01T00:00:00,DEN vs. LAC,W,36.583333333333336,5,10,0.5,1,5,0.2,1,5,0.2,0,7,7,8,3,2,0,0,1,4,12,4,35.4,0,0,32.0,1,1,1,1,3149,6037,7539,7600,4677,2414,8646,10224,2957,13589,13334,1756,3868,814,2063,1623,8116,1,5116,2730,7730,7904,3626,2116,43,3915,0,36:35,
