GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
22200727,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,31.000000:50,120.1,124.2,127.8,126.5,-7.7,-2.2,0.357,3.33,52.6,0.032,0.174,0.093,15.8,0.667,0.667,0.122,0.121,102.2,101.02,84.18,66,0.099,4.0
22201001,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,40.000000:56,109.4,114.5,109.5,110.0,0.0,4.5,0.194,3.5,29.2,0.091,0.057,0.076,8.3,0.269,0.362,0.175,0.177,98.03,95.57,79.64,83,0.069,19.0
22200646,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,29.000000:10,114.7,111.3,114.5,112.9,0.2,-1.6,0.381,0.0,40.0,0.03,0.0,0.016,0.0,0.444,0.579,0.169,0.176,99.83,102.03,85.03,62,0.124,17.0
22200478,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,27.000000:14,121.5,119.6,133.7,133.9,-12.3,-14.3,0.3,6.0,40.0,0.0,0.0,0.0,6.7,0.429,0.508,0.15,0.155,98.03,98.7,82.25,56,0.058,16.0
22200040,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,36.000000:18,102.2,104.1,119.8,121.9,-17.7,-17.8,0.308,8.0,38.1,0.0,0.071,0.031,4.8,0.292,0.292,0.159,0.16,98.3,96.53,80.44,73,0.043,4.0
22200452,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,28.000000:11,109.2,108.5,130.7,129.8,-21.5,-21.3,0.45,3.0,45.0,0.032,0.067,0.043,15.0,0.438,0.438,0.164,0.168,98.1,98.78,82.32,59,0.081,4.0
22201214,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,24.000000:05,154.2,159.6,131.2,130.8,23.0,28.8,0.192,2.5,27.8,0.0,0.04,0.021,11.1,0.944,0.929,0.224,0.221,105.31,103.64,86.37,52,0.108,4.0
22200916,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,33.000000:50,113.8,113.9,113.8,115.1,0.0,-1.2,0.269,7.0,46.7,0.026,0.056,0.041,6.7,0.643,0.643,0.099,0.101,103.45,102.86,85.71,72,0.087,4.0
22200537,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,29.000000:49,122.9,127.0,124.9,122.7,-2.1,4.3,0.333,2.67,32.0,0.042,0.037,0.039,12.0,0.545,0.623,0.25,0.246,104.61,103.83,86.53,63,0.073,4.0
22200898,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,30.000000:37,99.6,104.3,115.0,113.0,-15.4,-8.8,0.125,3.0,17.6,0.0,0.059,0.029,5.9,0.538,0.558,0.187,0.184,110.62,108.96,90.8,70,0.067,15.0
22200442,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,25.000000:22,101.3,101.9,114.4,114.8,-13.1,-12.9,0.222,0.0,40.0,0.0,0.043,0.021,0.0,0.333,0.333,0.111,0.11,100.78,100.29,83.57,52,0.036,4.0
22201166,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,35.000000:27,105.7,102.7,108.9,111.1,-3.2,-8.4,0.222,6.0,35.3,0.032,0.079,0.058,5.9,0.375,0.539,0.136,0.141,99.06,99.52,82.93,75,0.075,15.0
22200078,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,23.000000:28,109.0,112.5,123.8,118.4,-14.8,-5.9,0.313,0.0,41.7,0.04,0.038,0.039,0.0,0.857,0.888,0.125,0.128,98.55,99.2,82.67,48,0.171,4.0
22200865,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,32.000000:28,130.7,129.7,115.8,120.3,14.9,9.4,0.321,4.5,45.0,0.042,0.059,0.052,10.0,0.688,0.676,0.155,0.158,96.07,94.62,78.85,64,0.101,4.0
22200131,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,31.000000:20,139.5,147.5,129.6,130.6,9.9,16.9,0.345,5.0,43.5,0.065,0.0,0.036,8.7,0.636,0.656,0.176,0.174,97.28,94.21,78.51,61,0.119,4.0
22201039,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,29.000000:48,116.6,123.2,121.4,125.0,-4.7,-1.8,0.083,2.0,20.0,0.061,0.1,0.079,10.0,0.429,0.47,0.119,0.121,94.1,90.2,75.17,56,0.04,16.0
22200521,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,32.000000:19,97.7,100.0,103.0,100.0,-5.3,0.0,0.455,3.33,41.7,0.0,0.061,0.027,12.5,0.227,0.227,0.182,0.183,100.73,101.0,84.17,68,0.009,4.0
22200750,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,33.000000:43,114.0,117.4,98.2,94.2,15.8,23.2,0.393,3.67,50.0,0.065,0.088,0.077,13.6,0.25,0.25,0.134,0.136,97.66,98.23,81.86,69,0.089,17.0
22200546,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,30.000000:57,120.0,123.8,127.5,132.8,-7.5,-9.0,0.4,2.0,38.1,0.0,0.143,0.069,19.0,0.357,0.514,0.171,0.173,102.11,98.48,82.07,63,0.067,15.0
22200208,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,33.000000:53,108.8,108.3,99.7,101.4,9.1,7.0,0.318,7.0,36.8,0.027,0.077,0.053,5.3,0.35,0.442,0.143,0.145,103.36,102.71,85.59,72,0.098,18.0
22200426,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,32.000000:15,110.7,120.0,112.6,114.1,-1.9,5.9,0.273,3.0,31.6,0.0,0.059,0.028,10.5,0.125,0.188,0.165,0.168,100.67,96.0,80.0,65,-0.036,17.0
22200195,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,31.000000:32,80.8,84.6,103.7,104.6,-22.8,-20.0,0.421,2.67,44.4,0.0,0.037,0.014,16.7,0.214,0.214,0.12,0.125,101.71,98.94,82.45,65,0.011,4.0
22200143,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,32.000000:59,123.8,120.6,100.2,104.4,23.6,16.2,0.211,4.0,22.2,0.045,0.188,0.13,5.6,0.615,0.632,0.189,0.194,99.74,98.96,82.47,68,0.173,4.0
22200157,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,23.000000:46,148.5,154.0,133.4,135.4,15.1,18.6,0.5,0.0,60.0,0.0,0.067,0.033,0.0,0.929,0.888,0.148,0.149,101.55,98.96,82.47,50,0.163,15.0
22200792,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,30.000000:00,116.4,115.9,132.0,129.0,-15.6,-13.2,0.421,1.6,32.0,0.0,0.063,0.031,20.0,0.889,0.859,0.233,0.234,98.66,100.0,83.33,63,0.139,18.0
22200592,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,27.000000:52,103.3,103.4,154.0,150.9,-50.7,-47.4,0.35,7.0,41.2,0.0,0.105,0.04,5.9,0.5,0.5,0.161,0.164,98.11,99.04,82.54,58,0.067,4.0
22200578,1610612762,UTA,Utah,201144,Mike Conley,Mike,G,,31.000000:50,137.3,134.3,106.2,107.0,31.1,27.2,0.379,0.0,50.0,0.031,0.081,0.058,0.0,0.35,0.414,0.145,0.148,105.58,106.3,88.59,70,0.1,4.0
22201128,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,27.000000:30,135.7,137.7,119.1,118.2,16.6,19.6,0.136,0.0,23.1,0.0,0.069,0.038,0.0,0.813,0.82,0.161,0.164,94.57,94.25,78.55,53,0.137,4.0
22200961,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,30.000000:20,152.7,149.2,128.9,128.3,23.8,20.9,0.125,0.0,16.7,0.0,0.1,0.06,0.0,0.75,0.82,0.224,0.229,95.96,97.32,81.1,63,0.152,4.0
