,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0020700795,1610612742,DAL,Dallas,2572,Josh Howard,Josh,F,,35.000000:40,99.3,98.6,121.0,123.2,-21.7,-24.6,0.042,0.5,5.9,0.033,0.069,0.051,11.8,0.182,0.293,0.198,0.207,94.69,94.21,78.5,71,-0.032
1,0020700795,1610612742,DAL,Dallas,1717,Dirk Nowitzki,Dirk,F,,37.000000:50,100.7,98.6,113.6,112.5,-12.8,-13.9,0.125,1.0,6.9,0.061,0.167,0.116,6.9,0.524,0.621,0.325,0.34,90.58,91.97,76.65,73,0.217
2,0020700795,1610612742,DAL,Dallas,956,Erick Dampier,Erick,C,,31.000000:06,106.7,103.3,112.8,115.3,-6.1,-12.0,0.0,0.0,0.0,0.103,0.174,0.135,20.0,0.714,0.698,0.141,0.147,92.08,92.6,77.17,61,0.089
3,0020700795,1610612742,DAL,Dallas,1904,Devean George,Devean,G,,27.000000:33,106.7,105.6,115.6,116.1,-8.8,-10.5,0.053,1.0,12.5,0.0,0.103,0.06,12.5,0.667,0.667,0.123,0.124,95.51,95.83,79.85,54,0.057
4,0020700795,1610612742,DAL,Dallas,467,Jason Kidd,Jason,G,,36.000000:41,97.9,97.1,113.9,117.1,-16.0,-20.0,0.227,0.83,27.8,0.029,0.147,0.088,33.3,0.5,0.581,0.163,0.166,92.56,91.59,76.33,70,0.071
5,0020700795,1610612742,DAL,Dallas,1891,Jason Terry,Jason,,,27.000000:01,93.5,92.5,106.2,103.8,-12.7,-11.3,0.154,0.0,12.5,0.0,0.083,0.038,0.0,0.5,0.5,0.219,0.232,92.57,94.16,78.47,53,0.145
6,0020700795,1610612742,DAL,Dallas,200826,J.J. Barea,J.J.,,,4.000000:03,106.4,88.9,101.4,90.0,5.0,-1.1,0.0,0.0,0.0,0.0,0.25,0.2,33.3,0.0,0.532,0.333,0.399,97.19,112.59,93.83,9,0.182
7,0020700795,1610612742,DAL,Dallas,101138,Brandon Bass,Brandon,,,15.000000:22,77.1,79.3,121.9,120.7,-44.8,-41.4,0.0,0.0,0.0,0.125,0.2,0.154,33.3,0.333,0.515,0.176,0.183,91.48,90.61,75.5,29,0.0
8,0020700795,1610612742,DAL,Dallas,224,Eddie Jones,Eddie,,,15.000000:11,97.6,96.7,83.2,77.4,14.4,19.2,0.125,0.0,25.0,0.077,0.211,0.156,0.0,0.333,0.333,0.088,0.092,92.56,96.42,80.35,30,0.175
9,0020700795,1610612742,DAL,Dallas,436,Juwan Howard,Juwan,,,4.000000:23,123.0,120.0,77.5,72.7,45.4,47.3,0.0,0.0,0.0,0.0,0.167,0.125,33.3,1.0,1.064,0.3,0.307,109.94,114.98,95.82,10,0.303
