,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0020700580,1610612746,LAC,Los Angeles,1894,Corey Maggette,Corey,F,,27.000000:58,105.7,107.3,132.2,126.3,-26.4,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.5,0.585,0.29,0.291,94.64,96.11,80.1,55,0.09
1,0020700580,1610612746,LAC,Los Angeles,1501,Tim Thomas,Tim,F,,34.000000:18,94.7,93.9,110.3,109.1,-15.6,-15.2,0.05,0.33,6.7,0.0,0.161,0.085,20.0,0.5,0.511,0.209,0.211,91.49,92.36,76.97,66,0.026
2,0020700580,1610612746,LAC,Los Angeles,2549,Chris Kaman,Chris,C,,35.000000:14,100.3,101.4,121.1,118.3,-20.8,-16.9,0.053,0.33,7.1,0.156,0.367,0.258,21.4,0.778,0.81,0.169,0.169,95.48,96.05,80.04,70,0.176
3,0020700580,1610612746,LAC,Los Angeles,2624,Quinton Ross,Quinton,G,,10.000000:39,95.4,90.9,117.3,119.0,-21.8,-28.1,0.167,0.0,50.0,0.0,0.091,0.045,0.0,0.0,0.0,0.043,0.046,95.28,96.9,80.75,22,0.037
4,0020700580,1610612746,LAC,Los Angeles,208,Sam Cassell,Sam,G,,26.000000:17,110.7,109.6,137.3,136.5,-26.6,-26.9,0.4,2.0,26.1,0.0,0.056,0.024,13.0,0.455,0.587,0.298,0.301,94.23,94.97,79.14,52,0.126
5,0020700580,1610612746,LAC,Los Angeles,1749,Cuttino Mobley,Cuttino,,,35.000000:25,96.7,95.5,124.8,119.1,-28.0,-23.6,0.208,2.5,35.7,0.0,0.069,0.035,14.3,0.333,0.363,0.125,0.126,88.83,91.48,76.24,67,0.038
6,0020700580,1610612746,LAC,Los Angeles,2694,Josh Powell,Josh,,,21.000000:54,83.0,82.9,131.7,122.0,-48.7,-39.0,0.071,1.0,20.0,0.053,0.176,0.111,20.0,0.0,0.0,0.085,0.087,86.49,89.86,74.89,41,-0.019
7,0020700580,1610612746,LAC,Los Angeles,201154,Al Thornton,Al,,,23.000000:05,84.6,86.0,89.1,86.4,-4.5,-0.3,0.091,0.0,11.1,0.0,0.174,0.098,0.0,0.438,0.438,0.182,0.183,89.79,90.45,75.38,43,0.068
8,0020700580,1610612746,LAC,Los Angeles,1510,Brevin Knight,Brevin,,,15.000000:37,73.1,75.9,97.4,90.3,-24.2,-14.5,0.4,2.0,20.0,0.0,0.071,0.038,10.0,0.667,0.683,0.267,0.266,90.43,92.21,76.84,29,0.151
9,0020700580,1610612746,LAC,Los Angeles,2424,Dan Dickau,Dan,,,6.000000:06,82.7,81.8,71.7,58.3,11.0,23.5,0.333,0.0,20.0,0.0,0.0,0.0,0.0,0.25,0.25,0.333,0.337,81.18,90.47,75.39,11,-0.1
10,0020700580,1610612746,LAC,Los Angeles,200799,Guillermo Diaz,Guillermo,,,3.000000:27,85.0,83.3,40.0,40.0,45.0,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.333,0.34,75.69,76.52,63.77,6,-0.286
11,0020700580,1610612746,LAC,Los Angeles,1425,Aaron Williams,Aaron,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
12,0020700580,1610612762,UTA,Utah,1905,Andrei Kirilenko,Andrei,F,,26.000000:17,135.2,130.2,112.4,111.3,22.8,18.9,0.318,2.33,35.0,0.143,0.083,0.111,15.0,0.714,0.674,0.22,0.228,94.53,96.79,80.66,53,0.105
13,0020700580,1610612762,UTA,Utah,2430,Carlos Boozer,Carlos,F,,26.000000:29,129.8,129.1,104.2,105.8,25.6,23.3,0.15,3.0,18.8,0.056,0.36,0.233,6.3,0.75,0.764,0.22,0.221,97.44,96.97,80.81,55,0.225
14,0020700580,1610612762,UTA,Utah,2246,Mehmet Okur,Mehmet,C,,31.000000:49,132.4,128.6,95.7,93.8,36.8,34.8,0.069,0.0,18.2,0.0,0.129,0.071,0.0,0.667,0.667,0.13,0.134,93.45,95.8,79.83,63,0.099
