GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
20700551,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,,,8.000000:22,94.8,100.0,76.1,75.0,18.6,25.0,0.143,1.0,25.0,0.0,0.286,0.143,25.0,0.0,0.0,0.158,0.159,93.63,91.79,76.49,16,0.0,7.0
20701061,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,F,,25.000000:28,111.2,114.0,125.1,126.0,-13.9,-12.0,0.111,2.0,16.7,0.091,0.211,0.146,8.3,0.556,0.556,0.172,0.172,95.79,94.24,78.53,50,0.112,1.0
20700355,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,,,23.000000:25,92.9,95.2,113.5,113.6,-20.7,-18.4,0.0,0.0,0.0,0.12,0.24,0.18,7.1,0.409,0.509,0.275,0.274,89.29,88.14,73.45,42,0.142,5.0
20700427,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,,,21.000000:01,96.7,97.8,96.0,97.8,0.7,0.0,0.0,0.0,0.0,0.042,0.1,0.068,8.3,0.682,0.682,0.25,0.253,105.48,103.93,86.6,46,0.088,5.0
20700625,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,,,14.000000:42,94.0,85.7,129.2,142.3,-35.1,-56.6,0.25,1.0,8.3,0.25,0.235,0.241,8.3,0.667,0.607,0.355,0.386,88.45,88.19,73.49,28,0.267,7.0
20700397,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,,DND - Sprained right ankle,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,23.0
20700608,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,,,29.000000:47,120.9,117.7,119.5,119.4,1.4,-1.6,0.158,3.0,17.6,0.043,0.286,0.176,5.9,0.538,0.538,0.203,0.208,98.54,99.92,83.27,62,0.117,17.0
20700740,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,F,,35.000000:38,97.3,100.0,97.7,97.3,-0.4,2.7,0.118,2.0,7.7,0.071,0.278,0.167,3.8,0.455,0.459,0.286,0.286,99.47,98.33,81.95,73,0.191,13.0
20701113,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,F,,37.000000:19,116.7,119.4,117.5,113.5,-0.9,5.9,0.115,3.0,15.0,0.091,0.281,0.185,5.0,0.733,0.735,0.207,0.203,93.37,93.88,78.24,72,0.172,1.0
20701107,1610612749,MIL,Milwaukee,101111,Charlie Villanueva,Charlie,F,,24.000000:38,99.8,96.2,117.9,120.8,-18.1,-24.5,0.176,1.5,16.7,0.048,0.231,0.149,11.1,0.308,0.308,0.268,0.277,102.65,103.27,86.06,53,0.062,13.0
