,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,211,211,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601226,2007-04-18T00:00:00,HOU @ UTA,L,29.346666666666668,6,12,0.5,3,5,0.6,3,4,0.75,0,4,4,3,0,1,0,0,1,3,18,-3,30.3,0,0,30.0,1,12467,12467,12467,9214,4361,5174,7647,776,1976,2172,5108,4951,7968,13399,5758,8939,5327,17006,4311,7149,1,4150,5639,3844,15010,5628,2110,33,4894,,29:21,,1610612745,HOU,Houston,101129,Luther Head,Luther,G,,29.000000:21,101.7,100.0,102.6,108.9,-0.9,-8.9,0.214,0.0,17.6,0.0,0.16,0.075,0.0,0.625,0.654,0.222,0.229,95.29,93.23,77.69,58,0.212,3.0
1,473,473,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601207,2007-04-16T00:00:00,HOU vs. PHX,W,30.566666666666663,3,5,0.6,2,4,0.5,0,0,0.0,0,2,2,3,2,0,0,0,1,0,8,-12,12.9,0,0,15.0,1,1,1,1,8386,10910,14684,4745,1814,3134,2568,14315,15277,14315,13399,11788,14677,5327,5018,11383,7149,1,4150,18405,11777,22039,15562,2110,33,13396,,30:34,,1610612745,HOU,Houston,101129,Luther Head,Luther,,,30.000000:34,113.9,116.9,135.1,135.0,-21.2,-18.1,0.136,1.5,30.0,0.0,0.091,0.038,20.0,0.8,0.8,0.099,0.099,94.66,93.44,77.86,59,0.058,17.0
2,793,793,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601191,2007-04-14T00:00:00,HOU vs. NOK,W,30.45,5,10,0.5,3,4,0.75,2,2,1.0,0,1,1,5,0,1,0,1,2,1,15,7,26.7,0,0,26.0,1,1,1,1,8478,6053,7291,7647,776,3134,1273,7129,8848,1,13399,15940,18259,2508,17006,4311,7149,16867,9414,12889,5603,5395,7290,2110,33,6718,,30:27,,1610612745,HOU,Houston,101129,Luther Head,Luther,,,30.000000:27,136.6,137.3,119.7,125.4,17.0,11.9,0.185,0.0,31.3,0.0,0.04,0.019,0.0,0.65,0.689,0.164,0.169,95.46,93.0,77.5,59,0.096,17.0
3,1245,1245,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601172,2007-04-11T00:00:00,HOU @ POR,W,27.466666666666665,2,5,0.4,2,5,0.4,1,2,0.5,0,3,3,1,0,1,0,0,2,1,7,-6,15.1,0,0,15.0,1,1,1,1,10463,13865,14684,13414,1814,1976,4699,11094,8848,10900,13399,8412,11573,11213,17006,4311,7149,1,9414,12889,13066,17991,14117,2110,33,13396,,27:28,,1610612745,HOU,Houston,101129,Luther Head,Luther,,,27.000000:28,105.2,100.0,108.8,111.1,-3.6,-11.1,0.077,0.0,14.3,0.0,0.115,0.053,0.0,0.6,0.595,0.097,0.101,93.04,94.37,78.64,54,0.073,5.0
4,1518,1518,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601155,2007-04-09T00:00:00,HOU @ SEA,W,27.415,4,7,0.571,1,3,0.333,3,4,0.75,0,2,2,1,1,3,0,1,1,2,12,9,23.9,0,0,22.0,1,1,1,1,10497,8223,11438,5805,3925,4736,5256,5108,4951,7968,13399,11788,14677,11213,9671,465,7149,16867,4150,8655,7838,4201,8738,2110,33,8858,,27:25,,1610612745,HOU,Houston,101129,Luther Head,Luther,,,27.000000:25,114.8,107.0,88.6,91.2,26.3,15.8,0.063,1.0,9.1,0.0,0.063,0.034,9.1,0.643,0.685,0.154,0.164,97.91,99.8,83.17,57,0.14,5.0
5,1683,1683,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601148,2007-04-08T00:00:00,HOU @ SAC,W,30.403333333333332,5,6,0.833,4,4,1.0,4,4,1.0,1,4,5,2,0,1,0,1,2,2,18,5,30.0,0,0,31.0,1,1,1,1,8504,6053,13023,1339,325,3134,1,3434,4951,1,6978,5758,6745,7729,17006,4311,7149,16867,9414,8655,3844,6772,5752,2110,33,4508,,30:24,,1610612745,HOU,Houston,101129,Luther Head,Luther,,,30.000000:24,122.6,122.6,106.8,112.7,15.8,9.9,0.105,0.0,20.0,0.048,0.1,0.082,0.0,1.167,1.16,0.114,0.118,101.42,98.67,82.23,62,0.181,6.0
6,2032,2032,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601130,2007-04-06T00:00:00,HOU vs. POR,L,38.63333333333333,7,16,0.438,3,8,0.375,2,2,1.0,0,1,1,3,3,0,0,1,4,2,19,-4,21.7,0,0,26.0,1,12467,12467,12467,3148,3082,2200,12236,776,411,5159,7129,8848,1,13399,15940,18259,5327,2385,11383,7149,16867,19728,8655,3377,16081,9957,2110,33,6718,,38:38,,1610612745,HOU,Houston,101129,Luther Head,Luther,G,,38.000000:38,96.2,95.6,98.4,103.0,-2.2,-7.4,0.176,1.0,13.0,0.0,0.029,0.014,13.0,0.531,0.563,0.247,0.254,85.56,83.87,69.89,68,0.08,15.0
7,2205,2205,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601115,2007-04-04T00:00:00,HOU vs. GSW,L,28.266666666666666,10,13,0.769,7,9,0.778,3,3,1.0,1,5,6,2,5,0,0,0,4,1,30,2,35.2,0,0,45.0,1,12467,12467,12467,9925,818,4282,1809,12,226,1269,5108,7495,1,6978,3866,5105,7729,388,11383,7149,1,19728,12889,573,9348,3788,2110,33,1017,,28:16,,1610612745,HOU,Houston,101129,Luther Head,Luther,,,28.000000:16,114.4,114.3,108.7,112.7,5.8,1.6,0.182,0.4,9.5,0.038,0.167,0.107,23.8,1.038,1.047,0.297,0.302,95.91,94.25,78.54,56,0.249,17.0
8,3409,3409,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601068,2007-03-28T00:00:00,HOU @ LAC,W,12.243333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,-6,1.5,0,0,1.0,1,1,1,1,19767,20848,21749,20848,7913,12853,7913,14315,15277,14315,13399,20642,21832,11213,17006,11383,7149,1,4150,18405,21732,17991,23032,2110,33,23261,,12:15,,1610612745,HOU,Houston,101129,Luther Head,Luther,,,12.000000:15,95.0,88.5,110.7,111.5,-15.6,-23.1,0.125,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.037,98.8,101.93,84.94,26,-0.019,7.0
9,3527,3527,2006-07,101129,Luther Head,Luther,1610612745,HOU,Houston Rockets,20601050,2007-03-26T00:00:00,HOU vs. MIL,W,26.983333333333334,5,9,0.556,3,5,0.6,0,0,0.0,0,2,2,2,2,0,0,1,2,1,13,4,16.4,0,0,20.0,1,1,1,1,10778,6053,8489,6448,776,1976,2172,14315,15277,14315,13399,11788,14677,7729,5018,11383,7149,16867,9414,12889,7031,7567,13297,2110,33,10084,,26:59,,1610612745,HOU,Houston,101129,Luther Head,Luther,,,26.000000:59,98.1,105.8,100.2,98.1,-2.1,7.7,0.118,1.0,15.4,0.0,0.083,0.039,15.4,0.722,0.722,0.18,0.183,95.17,92.5,77.08,52,0.112,20.0
