,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,138,138,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601224,2007-04-18T00:00:00,DEN @ SAS,W,30.516666666666666,7,15,0.467,3,7,0.429,0,0,0.0,0,3,3,1,1,1,0,0,3,0,17,0,24.1,0,0,26.0,1,1,1,1,8425,3082,2828,11067,776,711,4552,14315,15277,14315,13399,8412,11573,11213,9671,4311,7149,1,14974,18405,4374,11511,8622,2110,33,6718,,30:31,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,F,,30.000000:31,100.2,101.7,103.8,100.0,-3.6,1.7,0.053,1.0,5.9,0.0,0.094,0.051,5.9,0.567,0.567,0.254,0.259,91.01,92.02,76.68,58,0.093,0.0
1,532,532,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601208,2007-04-16T00:00:00,DEN vs. MIN,W,23.25,7,12,0.583,1,5,0.2,8,8,1.0,3,7,10,0,1,0,0,0,3,5,23,4,34.0,1,0,34.0,1,1,1,1,13254,3082,5174,5576,3925,1976,7327,729,1421,1,1756,1727,1567,16786,9671,11383,7149,1,14974,2249,1866,7567,4169,1,33,3438,,23:15,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,,,23.000000:15,115.0,114.3,102.3,102.0,12.8,12.3,0.0,0.0,0.0,0.136,0.292,0.217,6.3,0.625,0.741,0.281,0.287,102.73,103.23,86.02,49,0.257,17.0
2,776,776,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601189,2007-04-14T00:00:00,DEN @ MEM,L,21.283333333333335,4,8,0.5,0,3,0.0,2,2,1.0,0,3,3,0,0,2,1,1,3,1,10,-11,22.6,0,0,19.0,1,12467,12467,12467,14575,8223,9950,7647,7913,4736,7913,7129,8848,1,13399,8412,11573,16786,17006,1479,2498,16867,14974,12889,9703,21536,9468,2110,33,10701,,21:17,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,,,21.000000:17,102.2,102.1,130.4,125.5,-28.2,-23.4,0.0,0.0,0.0,0.0,0.188,0.075,0.0,0.5,0.563,0.164,0.164,103.97,106.0,88.33,47,0.099,5.0
3,1047,1047,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601180,2007-04-13T00:00:00,DEN @ NOK,W,16.333333333333332,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,0,2,0,2,2,3.4,0,0,4.0,1,1,1,1,17576,17157,18204,15687,7913,6789,7913,14315,15277,14315,13399,11788,14677,16786,9671,11383,7149,1,9414,18405,19134,9348,21832,2110,33,21097,,16:20,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,,,16.000000:20,122.5,125.0,123.2,118.8,-0.7,6.3,0.0,0.0,0.0,0.0,0.2,0.091,25.0,0.333,0.333,0.114,0.115,93.28,94.04,78.37,32,-0.014,8.0
4,1291,1291,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601170,2007-04-11T00:00:00,DEN @ UTA,W,19.145,3,8,0.375,2,6,0.333,1,2,0.5,0,0,0,2,1,0,0,0,3,1,9,-1,11.0,0,0,13.0,1,1,1,1,15917,10910,9950,14720,1814,1204,5256,11094,8848,10900,13399,20642,21832,7729,9671,11383,7149,1,14974,12889,10791,12749,16798,2110,33,14728,,19:09,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,,,19.000000:09,117.7,119.4,121.1,122.2,-3.4,-2.8,0.154,2.0,16.7,0.0,0.0,0.0,8.3,0.5,0.507,0.256,0.26,91.31,90.26,75.22,36,0.013,7.0
5,1549,1549,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601154,2007-04-09T00:00:00,DEN vs. LAL,W,25.311666666666667,6,9,0.667,2,5,0.4,3,3,1.0,0,2,2,1,1,0,0,0,3,1,17,-8,19.9,0,0,22.0,1,1,1,1,11891,4361,8489,2857,1814,1976,4699,5108,7495,1,13399,11788,14677,11213,9671,11383,7149,1,14974,12889,4374,19628,11054,2110,33,8858,,25:19,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,,,25.000000:19,112.8,111.3,120.6,126.4,-7.8,-15.1,0.1,1.0,8.3,0.0,0.069,0.041,8.3,0.778,0.824,0.18,0.185,102.29,100.51,83.76,53,0.144,19.0
6,1825,1825,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601142,2007-04-07T00:00:00,DEN @ LAC,W,20.825,1,8,0.125,1,5,0.2,0,0,0.0,2,1,3,1,0,1,0,1,2,0,3,8,11.1,0,0,10.0,1,1,1,1,14884,17157,9950,20648,3925,1976,7327,14315,15277,14315,3553,15940,11573,11213,17006,4311,7149,16867,9414,18405,18230,4807,16744,2110,33,16868,,20:50,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,,,20.000000:50,102.1,100.0,79.7,86.8,22.4,13.2,0.071,0.0,11.1,0.091,0.043,0.067,0.0,0.188,0.188,0.16,0.173,93.99,91.04,75.87,41,-0.042,5.0
7,2068,2068,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601132,2007-04-06T00:00:00,DEN vs. DAL,W,19.4,1,3,0.333,1,3,0.333,0,0,0.0,0,5,5,1,1,0,3,0,2,0,3,-2,18.5,0,0,16.0,1,1,1,1,15768,17157,18204,15687,3925,4736,5256,14315,15277,14315,13399,3866,6745,11213,9671,11383,401,1,9414,18405,18230,13842,11914,2110,33,12673,,19:24,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,,,19.000000:24,61.7,57.5,63.1,65.8,-1.4,-8.3,0.167,1.0,20.0,0.0,0.192,0.1,20.0,0.5,0.5,0.089,0.097,95.16,96.49,80.41,40,0.275,17.0
8,2273,2273,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601116,2007-04-04T00:00:00,DEN vs. SAC,W,24.983333333333334,3,7,0.429,1,3,0.333,2,2,1.0,1,2,3,0,3,0,0,0,4,1,9,16,9.6,0,0,13.0,1,1,1,1,12140,10910,11438,12369,3925,4736,5256,7129,8848,1,6978,11788,11573,16786,2385,11383,7149,1,19728,12889,10791,1560,17767,2110,33,14728,,24:59,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,,,24.000000:59,121.7,124.5,97.0,96.2,24.7,28.4,0.0,0.0,0.0,0.042,0.069,0.057,27.3,0.5,0.571,0.177,0.18,101.64,100.87,84.06,53,0.006,18.0
9,2596,2596,2006-07,101132,Linas Kleiza,Linas,1610612743,DEN,Denver Nuggets,20601107,2007-04-03T00:00:00,DEN @ LAL,W,16.736666666666668,4,5,0.8,3,3,1.0,0,0,0.0,0,1,1,0,0,0,0,0,4,2,11,6,12.2,0,0,15.0,1,1,1,1,17329,8223,14684,1503,776,4736,1,14315,15277,14315,13399,15940,18259,16786,17006,11383,7149,1,19728,8655,8804,6038,16005,2110,33,13396,,16:44,,1610612743,DEN,Denver,101132,Linas Kleiza,Linas,,,16.000000:44,119.7,121.6,100.7,97.5,19.0,24.1,0.0,0.0,0.0,0.0,0.056,0.031,0.0,1.1,1.1,0.122,0.123,109.44,110.42,92.01,37,0.105,5.0
