,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
267,267,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701226,2008-04-16T00:00:00,HOU vs. LAC,W,30.506666666666668,6,14,0.429,3,8,0.375,0,0,0.0,1,4,5,3,2,1,0,0,1,0,15,25,26.5,0,0,28.0,1,1,1,1,8331,4602,3668,12285,812,397,5556,13965,14875,13965,6965,6016,6959,5356,4490,4416,7394,1,4269,18018,5827,335,7740,2165,41,6024,,30:30,
536,536,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701208,2008-04-14T00:00:00,HOU @ UTA,L,34.175,5,14,0.357,2,6,0.333,7,7,1.0,1,4,5,6,2,2,0,1,4,3,19,-4,38.0,0,0,36.0,1,12495,12495,12495,5931,6378,3668,15468,2008,1342,5654,959,1911,1,6965,6016,6959,1723,4490,1496,7394,16466,20166,5111,3448,15775,3098,2165,41,2949,,34:11,
1074,1074,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701184,2008-04-11T00:00:00,HOU vs. PHX,W,20.85,6,10,0.6,0,1,0.0,1,2,0.5,0,4,4,0,0,0,0,1,1,1,13,4,17.8,0,0,17.0,1,1,1,1,14808,4602,7629,4614,8528,10064,8528,10796,8574,10724,13428,6016,9131,17168,16371,11345,7394,16466,4269,12461,7287,7678,12709,2165,41,12298,,20:51,
1345,1345,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701171,2008-04-09T00:00:00,HOU vs. SEA,W,20.816666666666663,3,10,0.3,1,4,0.25,0,0,0.0,0,1,1,5,2,0,0,0,2,0,7,10,13.7,0,0,14.0,1,1,1,1,14836,11102,7629,17798,4271,3429,7146,13965,14875,13965,13428,16257,18471,2536,4490,11345,7394,1,9907,18018,13250,3876,15356,2165,41,14342,,20:49,
1782,1782,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701152,2008-04-06T00:00:00,HOU @ LAC,W,23.15,4,13,0.308,2,4,0.5,2,3,0.667,0,5,5,4,1,0,0,2,1,1,12,2,23.0,0,0,23.0,1,1,1,1,13331,8492,4464,17668,2008,3429,2684,6958,7304,9262,13428,4121,6959,3665,9079,11345,7394,22462,4269,12461,8091,9444,9650,2165,41,8640,,23:09,
2111,2111,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701136,2008-04-04T00:00:00,HOU @ SEA,W,32.355,5,12,0.417,3,6,0.5,0,0,0.0,1,1,2,6,2,1,0,0,2,2,13,13,25.4,0,0,26.0,1,1,1,1,7120,6378,5361,13064,812,1342,2684,13965,14875,13965,6965,16257,15019,1723,4490,4416,7394,1,9907,8128,7287,2613,8340,2165,41,7013,,32:21,
2158,2158,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701125,2008-04-03T00:00:00,HOU @ POR,W,23.063333333333333,4,9,0.444,1,4,0.25,2,2,1.0,0,3,3,4,0,1,0,0,2,0,11,6,23.6,0,0,21.0,1,1,1,1,13392,8492,8871,11715,4271,3429,7146,6958,8574,1,13428,8609,11879,3665,16371,4416,7394,1,9907,18018,8986,6153,9308,2165,41,9835,,23:04,
2475,2475,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701112,2008-04-01T00:00:00,HOU @ SAC,L,12.25,3,7,0.429,0,4,0.0,0,0,0.0,0,2,2,1,0,0,0,0,1,1,6,-2,9.9,0,0,9.0,1,12495,12495,12495,19855,11102,11848,12285,8528,3429,8528,13965,14875,13965,13428,12053,15019,11590,16371,11345,7394,1,4269,12461,14235,13627,17882,2165,41,17829,,12:15,
2795,2795,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701090,2008-03-30T00:00:00,HOU @ SAS,L,17.933333333333334,4,10,0.4,1,1,1.0,0,0,0.0,0,3,3,0,2,0,0,1,1,0,9,-7,10.6,0,0,13.0,1,12495,12495,12495,16703,8492,7629,13417,4271,10064,1,13965,14875,13965,13428,8609,11879,17168,4490,11345,7394,16466,4269,18018,11056,18545,17415,2165,41,15017,,17:56,
3471,3471,2007-08,1517,Bobby Jackson,Bobby,1610612745,HOU,Houston Rockets,20701065,2008-03-26T00:00:00,HOU vs. MIN,W,16.066666666666666,4,7,0.571,0,2,0.0,0,0,0.0,1,2,3,1,0,1,0,0,0,1,8,7,16.1,0,0,14.0,1,1,1,1,17876,8492,11848,5661,8528,7335,8528,13965,14875,13965,6965,12053,11879,11590,16371,4416,7394,1,1,12461,11963,5524,13742,2165,41,14342,,16:04,
