,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
11493,11493,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700658,2008-01-29T00:00:00,MIL @ NJN,L,3.9833333333333334,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0,0,0.0,1,12495,12495,12495,23519,21088,20286,21088,8528,13510,8528,13965,14875,13965,13428,20764,21915,17168,16371,11345,7394,1,4269,18018,21810,10409,23880,2165,41,23937,,3:59,
11704,11704,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700645,2008-01-27T00:00:00,MIL vs. WAS,W,17.866666666666667,4,6,0.667,0,1,0.0,0,2,0.0,1,0,1,1,0,0,0,0,3,1,8,8,10.7,0,0,10.0,1,1,1,1,16742,8492,13439,2750,8528,10064,8528,13965,8574,13965,6965,20764,18471,11590,16371,11345,7394,1,15598,12461,11963,4924,17348,2165,41,17152,,17:52,
12067,12067,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700625,2008-01-25T00:00:00,MIL @ TOR,L,12.815,3,4,0.75,0,0,0.0,2,4,0.5,0,1,1,0,0,0,0,0,0,3,8,-8,9.2,0,0,9.0,1,12495,12495,12495,19595,11102,16816,1680,8528,13510,8528,6958,4664,10724,13428,16257,18471,17168,16371,11345,7394,1,1,5111,11963,19269,18304,2165,41,17829,,12:49,
12232,12232,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700623,2008-01-24T00:00:00,MIL vs. IND,W,0.08,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,1,1,24860,21088,23562,21088,8528,13510,8528,13965,14875,13965,13428,20764,21915,17168,16371,11345,7394,1,1,18018,21810,11396,23880,2165,41,23937,,0:05,
12504,12504,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700608,2008-01-22T00:00:00,MIL vs. PHX,L,5.273333333333333,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,0,0,2,0,7.7,0,0,6.0,1,12495,12495,12495,22944,17475,22016,1,8528,13510,8528,13965,14875,13965,13428,16257,18471,11590,16371,4416,7394,1,1,18018,19306,11396,19283,2165,41,19935,,5:16,
12554,12554,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700601,2008-01-21T00:00:00,MIL @ NOH,L,4.066666666666666,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,7,0.5,0,0,1.0,1,12495,12495,12495,23480,21088,22016,21088,8528,13510,8528,13965,14875,13965,13428,20764,21915,11590,9079,11345,7394,1,1,18018,21810,5524,23740,2165,41,23327,,4:04,
12964,12964,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700589,2008-01-19T00:00:00,MIL vs. GSW,L,3.0166666666666666,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,4,-5,4.2,0,0,5.0,1,12495,12495,12495,23913,14171,18621,2750,8528,13510,8528,13965,14875,13965,6965,20764,18471,17168,9079,11345,7394,1,1,18018,16719,16758,21486,2165,41,20601,,3:01,
13477,13477,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700568,2008-01-16T00:00:00,MIL vs. ATL,W,5.691666666666666,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,3,0,0,0,0,3,0,0,-4,5.7,0,0,4.0,1,1,1,1,22738,21088,22016,21088,8528,13510,8528,13965,14875,13965,6965,20764,18471,5356,16371,11345,7394,1,15598,18018,21810,15775,20581,2165,41,21271,,5:42,
15253,15253,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700479,2008-01-04T00:00:00,MIL vs. WAS,L,14.666666666666666,1,5,0.2,0,0,0.0,0,0,0.0,3,2,5,2,1,1,0,0,1,0,2,6,13.0,0,0,11.0,1,12495,12495,12495,18649,17475,15105,19846,8528,13510,8528,13965,14875,13965,1875,12053,6959,7845,9079,4416,7394,1,4269,18018,19306,6153,15801,2165,41,16434,,14:40,
15646,15646,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700451,2007-12-31T00:00:00,MIL @ DET,L,12.0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0,0,3,0,0,0,2,1,0,-16,-3.0,0,0,0.0,1,12495,12495,12495,19967,21088,20286,21088,8528,13510,8528,13965,8574,13965,13428,20764,21915,17168,2044,11345,7394,1,9907,12461,21810,23187,24885,2165,41,23937,,12:00,
16413,16413,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700415,2007-12-26T00:00:00,MIL @ DEN,L,9.95,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,2,0,0,0,0,2,0,2,0,6.2,0,0,5.0,1,12495,12495,12495,20897,17475,18621,15704,8528,10064,8528,13965,14875,13965,6965,20764,18471,7845,16371,11345,7394,1,9907,18018,19306,11396,20227,2165,41,20601,,9:57,
18032,18032,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700330,2007-12-14T00:00:00,MIL @ BOS,L,7.333333333333333,1,2,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,1,1,2,-3,5.6,0,0,5.0,1,12495,12495,12495,21995,17475,20286,7452,8528,13510,8528,13965,14875,13965,3627,16257,11879,17168,16371,11345,7394,16466,4269,12461,19306,14768,20646,2165,41,20601,,7:20,
19957,19957,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700240,2007-12-01T00:00:00,MIL vs. DET,L,4.85,2,2,1.0,0,0,0.0,1,2,0.5,1,1,2,0,0,0,1,0,2,1,5,-2,10.4,0,0,9.0,1,12495,12495,12495,23132,14171,20286,1,8528,13510,8528,10796,8574,10724,6965,16257,15019,17168,16371,11345,2605,1,9907,12461,15717,13627,17547,2165,41,17829,,4:51,
20412,20412,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700213,2007-11-28T00:00:00,MIL @ ATL,L,0.9483333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,1,12495,12495,12495,24656,21088,23562,21088,8528,13510,8528,13965,14875,13965,13428,20764,21915,17168,16371,11345,7394,1,1,18018,21810,13627,23880,2165,41,23937,,0:57,
20646,20646,2007-08,2852,Awvee Storey,Awvee,1610612749,MIL,Milwaukee Bucks,20700207,2007-11-27T00:00:00,MIL vs. PHI,L,3.3666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,2,1.5,0,0,1.0,1,12495,12495,12495,23761,21088,23562,21088,8528,13510,8528,13965,14875,13965,13428,20764,21915,11590,16371,11345,7394,1,9907,18018,21810,9444,23105,2165,41,23327,,3:22,
