,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
301,301,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801216,2019-04-09T00:00:00,PHX @ DAL,L,38.13,18,30,0.6,7,13,0.538,8,9,0.889,0,5,5,5,4,1,1,1,4,6,51,-5,66.5,0,0,72.0,1,13078,13078,13078,1096,14,59,5112,51,117,3773,463,670,6828,13019,4837,7497,2819,823,4548,2599,17177,21788,1031,13,17195,139,2359,128,51,1,38:08,
517,517,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801200,2019-04-07T00:00:00,PHX @ HOU,L,27.276666666666667,9,17,0.529,4,8,0.5,5,5,1.0,0,4,4,6,2,1,0,0,0,2,27,-20,41.8,0,0,43.0,1,13078,13078,13078,9750,1509,2017,8143,725,1278,3790,1748,3085,1,13019,6983,9946,1912,4320,4548,8286,1,1,7971,1087,25130,2375,2359,128,1713,1,27:17,
1055,1055,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801189,2019-04-05T00:00:00,PHX vs. NOP,W,34.24166666666667,9,21,0.429,4,9,0.444,6,6,1.0,0,2,2,7,3,3,0,0,0,6,28,-3,46.9,0,0,47.0,1,1,1,1,3687,1509,732,13456,725,781,6848,1138,1976,1,13019,13681,16329,1262,1915,438,8286,1,1,1031,916,15279,1482,2359,128,1093,1,34:15,
1591,1591,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801160,2019-04-01T00:00:00,PHX vs. CLE,W,30.19,7,10,0.7,3,6,0.5,2,2,1.0,0,0,0,5,2,0,0,0,2,3,19,12,24.5,0,0,27.0,1,1,1,1,7107,3482,8165,2794,1715,3157,3790,6436,8097,1,13019,22618,23475,2819,4320,12169,8286,1,11136,4876,3763,3481,9618,2359,128,7336,1,30:11,
1814,1814,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801144,2019-03-30T00:00:00,PHX vs. MEM,L,30.416666666666668,2,3,0.667,1,1,1.0,3,5,0.6,0,2,2,8,2,1,0,0,1,3,8,-11,23.4,0,0,21.0,1,13078,13078,13078,6885,15736,20488,3022,7527,16257,1,4391,3085,10599,13019,13681,16329,847,4320,4548,8286,1,4829,4876,13441,21828,10335,2359,128,11052,1,30:25,
2324,2324,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801120,2019-03-27T00:00:00,PHX vs. WAS,L,29.706666666666667,4,11,0.364,2,7,0.286,2,3,0.667,0,3,3,7,0,0,1,0,1,2,12,1,29.1,0,0,26.0,1,13078,13078,13078,7518,9407,6910,16628,3785,2023,10658,6436,6549,9511,13019,9906,12926,1262,16665,12169,2599,1,4829,7971,9014,11129,7030,2359,128,7882,1,29:42,
3300,3300,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801077,2019-03-21T00:00:00,PHX vs. DET,L,15.453333333333331,2,5,0.4,1,3,0.333,3,3,1.0,0,1,1,2,2,0,0,0,2,1,8,-21,10.2,0,0,12.0,1,13078,13078,13078,19666,15736,16739,14646,7527,9513,8453,4391,6549,1,13019,18138,20002,9102,4320,12169,8286,1,11136,12643,13441,25296,19608,2359,128,17675,1,15:27,
3763,3763,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801057,2019-03-18T00:00:00,PHX vs. CHI,L,25.616666666666667,2,7,0.286,1,3,0.333,0,0,0.0,0,0,0,6,1,0,0,0,1,1,5,-4,13.0,0,0,12.0,1,13078,13078,13078,11256,15736,13029,19497,7527,9513,8453,14182,15041,14182,13019,22618,23475,1912,9005,12169,8286,1,4829,12643,17583,16234,17672,2359,128,17675,1,25:37,
4242,4242,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801030,2019-03-15T00:00:00,PHX @ HOU,L,18.483333333333334,0,4,0.0,0,3,0.0,0,0,0.0,0,0,0,3,2,0,0,0,0,0,0,-8,2.5,0,0,3.0,1,13078,13078,13078,17410,22860,18618,22860,13697,9513,13697,14182,15041,14182,13019,22618,23475,6208,4320,12169,8286,1,1,18923,23456,19777,24268,2359,128,23709,2,18:29,
4542,4542,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21801019,2019-03-13T00:00:00,PHX vs. UTA,L,14.216666666666669,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,0,1,2,4,3,7.2,0,0,7.0,1,13078,13078,13078,20473,15736,20488,3022,13697,16257,13697,14182,15041,14182,13019,18138,20002,9102,9005,12169,8286,1,4829,7971,18802,9253,21521,2359,128,21277,1,14:13,
5066,5066,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21800991,2019-03-09T00:00:00,PHX @ POR,L,20.47833333333333,2,7,0.286,2,5,0.4,2,2,1.0,0,2,2,4,2,1,0,0,1,2,8,-3,17.4,0,0,18.0,1,13078,13078,13078,15793,15736,13029,19497,3785,4781,7351,6436,8097,1,13019,13681,16329,4179,4320,4548,8286,1,4829,7971,13441,15279,14467,2359,128,13225,1,20:29,
5575,5575,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21800972,2019-03-06T00:00:00,PHX vs. NYK,W,14.416666666666666,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,1,0,0,1,0,0,-8,7.5,0,0,5.0,1,1,1,1,20347,22860,20488,22860,13697,20119,13697,14182,15041,14182,13019,22618,23475,6208,16665,4548,8286,1,4829,18923,23456,19777,21351,2359,128,22503,1,14:25,
5835,5835,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21800955,2019-03-04T00:00:00,PHX vs. MIL,W,13.4,2,7,0.286,0,1,0.0,0,0,0.0,1,1,2,2,2,1,0,0,1,1,4,-16,10.4,0,0,10.0,1,1,1,1,20971,15736,13029,19497,13697,16257,13697,14182,15041,14182,6309,18138,16329,9102,4320,4548,8286,1,4829,12643,18802,24096,19475,2359,128,19162,1,13:24,
6968,6968,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21800901,2019-02-25T00:00:00,PHX @ MIA,W,21.376666666666665,5,9,0.556,2,5,0.4,4,4,1.0,0,4,4,2,3,1,0,0,1,2,16,-2,23.8,0,0,26.0,1,1,1,1,15029,6938,9647,7016,3785,4781,7351,2731,4084,1,13019,6983,9946,9102,1915,4548,8286,1,4829,7971,5582,14203,10093,2359,128,7882,1,21:23,
7554,7554,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21800867,2019-02-21T00:00:00,PHX @ CLE,L,13.916666666666666,2,6,0.333,2,4,0.5,0,0,0.0,0,0,0,1,1,1,1,0,1,1,6,1,12.5,0,0,13.0,1,13078,13078,13078,20662,15736,14888,17130,3785,6843,3790,14182,15041,14182,13019,22618,23475,13432,9005,4548,2599,1,4829,12643,16101,11129,17994,2359,128,16912,1,13:55,
7799,7799,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21800863,2019-02-13T00:00:00,PHX @ LAC,L,16.323333333333334,6,8,0.75,3,5,0.6,2,2,1.0,0,3,3,6,2,2,1,0,1,2,17,-11,36.6,0,0,35.0,1,13078,13078,13078,19044,4937,11313,1866,1715,4781,2996,6436,8097,1,13019,9906,12926,1912,4320,1473,2599,1,4829,7971,4945,21828,3815,2359,128,3642,1,16:19,
8322,8322,2018-19,2037,Jamal Crawford,Jamal,1610612756,PHX,Phoenix Suns,21800836,2019-02-10T00:00:00,PHX @ SAC,L,4.216666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0.0,1,13078,13078,13078,24709,22860,25092,22860,13697,20119,13697,14182,15041,14182,13019,22618,23475,19301,16665,12169,8286,1,1,18923,23456,13203,25271,2359,128,25304,1,4:13,
