,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0021601063,1610612737,ATL,Atlanta,200757,Thabo Sefolosha,Thabo,F,,30.000000:48,103.3,107.4,96.7,100.0,6.5,7.4,0.1,2.0,18.2,0.069,0.075,0.072,9.1,0.625,0.625,0.118,0.117,111.45,107.52,89.6,68,0.128
1,0021601063,1610612737,ATL,Atlanta,101141,Ersan Ilyasova,Ersan,F,,26.000000:16,101.9,105.4,87.4,87.5,14.5,17.9,0.111,2.0,18.2,0.033,0.212,0.127,9.1,0.25,0.296,0.141,0.143,104.2,102.37,85.31,56,0.05
2,0021601063,1610612737,ATL,Atlanta,2730,Dwight Howard,Dwight,C,,36.000000:00,99.1,102.6,90.5,94.9,8.7,7.7,0.091,1.0,11.1,0.079,0.25,0.174,11.1,0.455,0.513,0.182,0.18,107.64,103.32,86.1,77,0.183
3,0021601063,1610612737,ATL,Atlanta,203501,Tim Hardaway Jr.,Tim,G,,36.000000:26,100.5,103.8,90.7,97.4,9.9,6.4,0.167,0.0,13.0,0.054,0.0,0.024,0.0,0.656,0.726,0.227,0.226,108.28,102.77,85.64,78,0.204
4,0021601063,1610612737,ATL,Atlanta,203471,Dennis Schröder,Dennis,G,,34.000000:22,104.4,108.0,91.6,98.7,12.9,9.3,0.273,0.6,17.1,0.0,0.043,0.025,28.6,0.313,0.461,0.341,0.339,110.59,104.75,87.29,75,0.013
5,0021601063,1610612737,ATL,Atlanta,1627752,Taurean Prince,Taurean,,,27.000000:57,93.2,93.2,111.3,116.7,-18.1,-23.4,0.125,2.0,18.2,0.03,0.091,0.061,9.1,0.438,0.438,0.132,0.134,104.75,102.21,85.17,59,0.062
6,0021601063,1610612737,ATL,Atlanta,203488,Mike Muscala,Mike,,,7.000000:45,78.6,78.6,88.9,83.3,-10.3,-4.8,0.2,1.0,20.0,0.091,0.0,0.05,20.0,0.0,0.0,0.235,0.235,95.67,99.14,82.62,14,-0.127
7,0021601063,1610612737,ATL,Atlanta,1627098,Malcolm Delaney,Malcolm,,,13.000000:41,72.5,70.4,109.8,103.4,-37.3,-33.1,0.167,0.0,14.3,0.0,0.2,0.083,0.0,0.2,0.17,0.194,0.205,93.85,98.2,81.83,27,0.025
8,0021601063,1610612737,ATL,Atlanta,2399,Mike Dunleavy,Mike,,,14.000000:50,72.2,72.4,109.1,106.7,-36.9,-34.3,0.25,0.0,12.5,0.0,0.059,0.026,0.0,0.571,0.605,0.212,0.218,94.51,95.48,79.57,29,0.175
9,0021601063,1610612737,ATL,Atlanta,2743,Kris Humphries,Kris,,,11.000000:56,87.2,91.3,123.4,115.4,-36.1,-24.1,0.0,0.0,0.0,0.063,0.182,0.111,0.0,0.5,0.615,0.192,0.192,97.35,98.56,82.13,23,0.129
10,0021601063,1610612737,ATL,Atlanta,1627761,DeAndre' Bembry,DeAndre',,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
11,0021601063,1610612737,ATL,Atlanta,101181,Jose Calderon,Jose,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
12,0021601063,1610612737,ATL,Atlanta,203527,Ryan Kelly,Ryan,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
13,0021601063,1610612764,WAS,Washington,203490,Otto Porter Jr.,Otto,F,,27.000000:18,83.5,86.9,106.3,111.7,-22.8,-24.8,0.0,0.0,0.0,0.15,0.074,0.119,9.1,0.5,0.5,0.149,0.15,111.23,106.37,88.64,61,0.042
14,0021601063,1610612764,WAS,Washington,202693,Markieff Morris,Markieff,F,,32.000000:36,92.3,97.3,105.2,109.7,-12.9,-12.5,0.1,2.0,13.3,0.022,0.2,0.093,6.7,0.5,0.523,0.146,0.146,111.93,106.75,88.96,73,0.109
15,0021601063,1610612764,WAS,Washington,101162,Marcin Gortat,Marcin,C,,27.000000:39,77.8,81.4,108.2,111.7,-30.4,-30.3,0.067,0.5,14.3,0.025,0.185,0.09,28.6,0.5,0.5,0.083,0.084,107.35,103.32,86.1,59,0.05
16,0021601063,1610612764,WAS,Washington,203078,Bradley Beal,Bradley,G,,35.000000:15,94.8,98.7,92.6,96.1,2.2,2.7,0.111,0.67,7.1,0.064,0.146,0.102,10.7,0.571,0.581,0.274,0.276,109.64,105.53,87.94,79,0.191
17,0021601063,1610612764,WAS,Washington,202322,John Wall,John,G,,34.000000:14,91.6,97.4,103.0,106.8,-11.4,-9.4,0.476,2.5,25.0,0.0,0.059,0.025,10.0,0.31,0.419,0.323,0.323,110.4,105.16,87.63,76,0.12
