,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22023,1630173,0022301190,"APR 14, 2024",NYK vs. CHI,W,19,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,2,0,1,2,3,4,-2,1
1,22023,1630173,0022301175,"APR 12, 2024",NYK vs. BKN,W,8,2,2,1.0,1,1,1.0,0,0,0.0,0,3,3,0,0,0,0,0,5,3,1
2,22023,1630173,0022301167,"APR 11, 2024",NYK @ BOS,W,16,1,6,0.167,0,1,0.0,0,0,0.0,2,3,5,0,0,1,1,0,2,-9,1
3,22023,1630173,0022301139,"APR 07, 2024",NYK @ MIL,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,5,1
4,22023,1630173,0022301119,"APR 05, 2024",NYK @ CHI,L,19,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,1,1,0,1,4,0,-2,1
5,22023,1630173,0022301112,"APR 04, 2024",NYK vs. SAC,W,9,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,3,0,-17,1
6,22023,1630173,0022301096,"APR 02, 2024",NYK @ MIA,L,27,1,4,0.25,0,0,0.0,0,0,0.0,3,3,6,0,1,0,0,2,2,-9,1
7,22023,1630173,0022301082,"MAR 31, 2024",NYK vs. OKC,L,22,3,5,0.6,0,1,0.0,2,4,0.5,4,5,9,0,0,2,0,2,8,-13,1
8,22023,1630173,0022301070,"MAR 29, 2024",NYK @ SAS,L,16,3,3,1.0,0,0,0.0,0,0,0.0,2,3,5,0,0,1,1,4,6,-30,1
9,22023,1630173,0022301053,"MAR 27, 2024",NYK @ TOR,W,27,8,13,0.615,0,1,0.0,3,3,1.0,6,6,12,3,1,2,3,2,19,18,1
10,22023,1630173,0022301035,"MAR 25, 2024",NYK vs. DET,W,26,3,5,0.6,0,0,0.0,3,6,0.5,5,11,16,1,1,1,2,2,9,3,1
11,22023,1630173,0022301019,"MAR 23, 2024",NYK vs. BKN,W,7,0,2,0.0,0,1,0.0,0,2,0.0,2,1,3,1,0,0,0,0,0,-9,1
12,22023,1630173,0022301009,"MAR 21, 2024",NYK @ DEN,L,25,4,5,0.8,1,1,1.0,0,0,0.0,0,5,5,3,0,2,0,2,9,-2,1
13,22023,1630173,0022300988,"MAR 18, 2024",NYK @ GSW,W,18,2,4,0.5,0,0,0.0,2,2,1.0,5,4,9,1,0,0,1,0,6,-14,1
14,22023,1630173,0022300975,"MAR 16, 2024",NYK @ SAC,W,20,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,4,0,1,1,3,2,2,1
15,22023,1630173,0022300960,"MAR 14, 2024",NYK @ POR,W,24,2,3,0.667,0,0,0.0,0,0,0.0,3,4,7,2,2,0,0,1,4,-5,1
16,22023,1630173,0022300939,"MAR 12, 2024",NYK vs. PHI,W,24,6,8,0.75,0,1,0.0,1,2,0.5,3,5,8,1,0,2,4,5,13,13,1
17,22023,1630173,0022300927,"MAR 10, 2024",NYK vs. PHI,L,36,2,8,0.25,1,3,0.333,3,4,0.75,3,6,9,0,2,3,3,2,8,4,1
18,22023,1630173,0022300912,"MAR 08, 2024",NYK vs. ORL,W,39,6,16,0.375,2,4,0.5,1,2,0.5,3,11,14,4,2,5,3,2,15,25,1
19,22023,1630173,0022300889,"MAR 05, 2024",NYK vs. ATL,L,24,7,8,0.875,0,0,0.0,1,1,1.0,1,5,6,2,1,1,0,1,15,3,1
20,22023,1630173,0022300876,"MAR 03, 2024",NYK @ CLE,W,22,6,8,0.75,1,1,1.0,1,3,0.333,3,1,4,0,2,3,2,3,14,12,1
21,22023,1630173,0022300852,"FEB 29, 2024",NYK vs. GSW,L,26,1,3,0.333,0,1,0.0,1,4,0.25,4,4,8,1,0,2,2,2,3,-12,1
22,22023,1630173,0022300837,"FEB 27, 2024",NYK vs. NOP,L,40,4,10,0.4,0,3,0.0,7,8,0.875,3,4,7,2,0,1,1,3,15,-18,1
23,22023,1630173,0022300828,"FEB 26, 2024",NYK vs. DET,W,34,2,7,0.286,0,1,0.0,0,0,0.0,4,7,11,1,2,2,2,3,4,9,1
24,22023,1630173,0022300816,"FEB 24, 2024",NYK vs. BOS,L,34,4,8,0.5,0,2,0.0,0,0,0.0,4,5,9,1,0,1,1,2,8,-13,1
25,22023,1630173,0022300794,"FEB 22, 2024",NYK @ PHI,W,38,7,9,0.778,1,2,0.5,3,7,0.429,4,7,11,2,2,1,2,3,18,15,1
26,22023,1630173,0022300778,"FEB 14, 2024",NYK @ ORL,L,43,8,16,0.5,1,2,0.5,6,7,0.857,10,4,14,5,0,0,1,1,23,-4,1
27,22023,1630173,0022300765,"FEB 12, 2024",NYK @ HOU,L,39,4,8,0.5,0,1,0.0,0,1,0.0,9,8,17,0,0,3,3,4,8,3,1
28,22023,1630173,0022300755,"FEB 10, 2024",NYK vs. IND,L,43,6,6,1.0,1,1,1.0,2,2,1.0,3,3,6,0,2,3,2,2,15,-12,1
